source,text,bias_score_human,bias_score_claude
cabusinessdaily,"Out of 884 students enrolled in Tony Tobin Elementary School, 16.5 percent were in third-grade during the 2018-2019 school year, according to the California Department of Education

The grade with the highest concentration of students was fifth-grade with 17.6 percent of all students.

According to numbers provided by the National Center for Education Services, California is expected to see a decrease of three percent in public elementary and secondary school enrollment from 2017-2029. The state expected to see the largest drop in enrollment is New Mexico with a projected 12 percent decrease, while Washington D.C. is projected to see a 14 percent increase over the same time period.

In a survey conducted by the Public Policy Institute of California, seven percent of respondents said large class sizes was the biggest issue facing California's K-12 schools. In the same survey, 50 percent of the respondents said they didn__ view the financial resources their local public school was getting as adequate.",0,0
cabusinessdaily,"The graduation rate of Native Hawaiian and Pacific Islander students at Del Norte High School in the 2017-2018 school year remained unchanged from the previous school year__ graduation rate of 100 percent, according to the California Department of Education

According to CDE data, graduation rates indicate an increase in disproportional academic performance between white, Black, Latino, and English learner students.

According to the National Centre for Education Statistics, in the 2017-2018 school year, of the 50 states where data was collected, students with disabilities were at the bottom of 4-year high school graduation rates by student group.

Angela Johnson, a research scientist at NWEA, says __aken together, prior research suggests that inequities exist in the quality of education experienced by current ELs and non-ELs and that these inequities explain achievement gaps in middle and early high school_ in The Effects of English Learner Classification on High School Graduation and College Attendance.",1,0
cabusinessdaily,"Jane Frederick High drop-out rate was better than California__ statewide drop-out rate in the 2018-19 school year, according to the California Department of Education

CDE data shows that graduation and dropout rates continue to confirm that there is a growing achievement gap between Latino, Black, and English learner students. The achievement gap refers to the disparities in academic performance associated with race and class.

According to data provided by the National Centre for Education Statistics in 2018, of the 48 states where data was collected, Black males remain at the bottom of 4 year high school graduation rates.

Closing the achievement gap earlier in the schooling process, such as during elementary school, can improve high school graduation rates and decrease drop-out rates. Individually tailored student support is one way that has been proposed to accomplish this.

In The Long-Term Impact of Systemic Student Support in Elementary School: Reducing High School Dropout, Terrence J. Lee-St. John, a Biostatistician at the Research Department of Cleveland Clinic Abu Dhabi, says __tudents often fail to complete high school for complex reasons that often manifest long before they reach high school. Individually tailored student support during elementary school can lead to lasting and meaningful effects._",1,0
cabusinessdaily,"The graduation rate of African American students at John C. Kimball High School in the 2017-2018 school year increased over the previous school year__ graduation rate of 90.9 percent, according to the California Department of Education

According to CDE data, graduation rates indicate an increase in disproportional academic performance between white, Black, Latino, and English learner students.

According to the National Centre for Education Statistics, in the 2017-2018 school year, of the 50 states where data was collected, students with disabilities were at the bottom of 4-year high school graduation rates by student group.

Angela Johnson, a research scientist at NWEA, says __aken together, prior research suggests that inequities exist in the quality of education experienced by current ELs and non-ELs and that these inequities explain achievement gaps in middle and early high school_ in The Effects of English Learner Classification on High School Graduation and College Attendance.",1,0
cabusinessdaily,"Triple Crown Elementary School had 189 second-grade students during the 2018-2019 school year, according to the California Department of Education

River Springs Charter School had the most second-grade students enrolled in California with 597.

According to numbers provided by the National Center for Education Services, California is expected to see a decrease of three percent in public elementary and secondary school enrollment from 2017-2029. The state expected to see the largest drop in enrollment is New Mexico with a projected 12 percent decrease, while Washington D.C. is projected to see a 14 percent increase over the same time period.

In a survey conducted by the Public Policy Institute of California, seven percent of respondents said large class sizes was the biggest issue facing California's K-12 schools. In the same survey, 50 percent of the respondents said they did not view the financial resources their local public school was getting as adequate.",0,0
cabusinessdaily,"Gridley High School ranked 1,644th in California in the 2017-2018 school year with a graduation rate at 84 percent, according to the California Department of Education

According to CDE data, graduation rates indicate an increasing achievement gap between Latino, Black, and English learner students. The achievement gap refers to the disparities in academic performance associated with race and class.

According to the National Centre for Education Statistics, in the 2017-2018 school year, of the 50 states where data was collected, students with disabilities were at the bottom of 4-year high school graduation rates by student group.

In The Effects of English Learner Classification on High School Graduation and College Attendance, Angela Johnson, a research scientist at NWEA, says, __rior research suggests that inequities exist in the quality of education experienced by current English learners and non-English-learning and that these inequities explain achievement gaps in middle and early high school._",1,0
cabusinessdaily,"Students classified as American Indian rank first for completion of graduation requirements among students in Wiseburn Unified School District for the 2017-2018 school year with the completion of graduation requirements at 100 percent, according to the California Department of Education

According to CDE data, graduation rates indicate an increasing achievement gap between Latino, Black, and English learner students. The achievement gap refers to the disparities in academic performance associated with race and class.

According to the National Centre for Education Statistics, in the 2017-2018 school year, of the 50 states where data was collected, students with disabilities were at the bottom of 4-year high school graduation rates by student group.

In The Effects of English Learner Classification on High School Graduation and College Attendance, Angela Johnson, a research scientist at NWEA, says, __rior research suggests that inequities exist in the quality of education experienced by current English learners and non-English learners and that these inequities explain achievement gaps in middle and early high school._",0,0
cabusinessdaily,"The graduation rate of students with disabilities at Del Norte High School in the 2017-2018 school year decreased from the previous school year__ graduation rate of 93.1 percent, according to the California Department of Education

According to CDE data, graduation rates indicate an increase in disproportional academic performance between white, Black, Latino, and English learner students.

According to the National Centre for Education Statistics, in the 2017-2018 school year, of the 50 states where data was collected, students with disabilities were at the bottom of 4-year high school graduation rates by student group.

Angela Johnson, a research scientist at NWEA, says __aken together, prior research suggests that inequities exist in the quality of education experienced by current ELs and non-ELs and that these inequities explain achievement gaps in middle and early high school_ in The Effects of English Learner Classification on High School Graduation and College Attendance.",0,0
cabusinessdaily,"Transitional Learning Center (Continuation) ranked 1,646th in California in the 2017-2018 school year with a graduation rate at 83 percent, according to the California Department of Education

According to CDE data, graduation rates indicate an increasing achievement gap between Latino, Black, and English learner students. The achievement gap refers to the disparities in academic performance associated with race and class.

According to the National Centre for Education Statistics, in the 2017-2018 school year, of the 50 states where data was collected, students with disabilities were at the bottom of 4-year high school graduation rates by student group.

In The Effects of English Learner Classification on High School Graduation and College Attendance, Angela Johnson, a research scientist at NWEA, says, __rior research suggests that inequities exist in the quality of education experienced by current English learners and non-English-learning and that these inequities explain achievement gaps in middle and early high school._",0,0
calaverasguide,"Calaveras County Sheriff's Office issued the following announcement on April 15.

MEDIA RELEASE

Contact: Sergeant Greg Stark

Release Date: April 15, 2021 

Release Time: 1:40 PM



CALAVERAS_ __ROP THE DRUGS_ DAY



The annual Calaveras County __rop the Drugs_ event is coming up on Saturday, April 24, 2021 from 10am-2pm. There will be two locations; The Calaveras County Office of Education, 185 South Main Street, Angels Camp and the Toyon Middle School, on Highway 12 between San Andreas and Valley Springs.



At __rop the Drugs_ day, residents can dispose of expired, unused, or unwanted prescription drugs. Unfortunately, the collection sites are not equipped to receive any liquids or sharps. Deputies will be at each site and will accept the material. Please ensure that all identifying information be marked out or removed for the medicine containers. The service is free and anonymous, no questions asked. 



Since the beginning of the program in 2011, Calaveras County __rop the Drugs_ events have removed over 1,985.6 pounds of potentially dangerous drugs and medications from the community. Past methods for disposing of unused medicines__lushing them down the toilet or throwing them in the trash__ose safety, environmental, and health hazards. Returning unused drugs to law enforcement agencies for destruction is the safest and most environmentally responsible method of disposal. Community members who cannot attend the event may drop off drugs any day during business hours at permanent __rug Drop Boxes_ at the Calaveras County Sheriff__ Office in San Andreas or the Angels Camp Police Department.



For more information regarding the safe disposal of unused medicines, the public may contact Sgt. Greg Stark at 209-754-6500.

Original source can be found here.",0,0
calaverasguide,"Calaveras County OES issued the following announcement on March 4.



Yesterday, Calaveras County OES staff delivered 31 ""Stop the Bleed"" kits to the Calaveras County Office of Education. The delivery of these kits were the result of a grant funded project collaboration with the Office of Education, Public Health, and Calaveras OES.



These kits are designed to provide bystanders and initial first responders in public buildings and populated public areas with quick, easy access to essential medical equipment for stopping life-threatening bleeding. The Office of Education will be distributing these kits to our local schools around the county to better protect our school children and school employees. Thanks to our great partners at Calaveras County Office of Education and the Calaveras County Public Health Team!

Original source can be found here.",0,0
centralalamedanews,"Out of 12,040 students enrolled in Dublin Unified School District, 8 percent were in fourth-grade during the 2018-2019 school year, according to the California Department of Education

The grade with the highest concentration of students was kindergarten with 9.8 percent of all students.

According to numbers provided by the National Center for Education Services, California is expected to see a decrease of three percent in public elementary and secondary school enrollment from 2017-2029. The state expected to see the largest drop in enrollment is New Mexico with a projected 12 percent decrease, while Washington D.C. is projected to see a 14 percent increase over the same time period.

In a survey conducted by the Public Policy Institute of California, seven percent of respondents said large class sizes was the biggest issue facing California's K-12 schools. In the same survey, 50 percent of the respondents said they didn__ view the financial resources their local public school was getting as adequate.",0,0
centralalamedanews,"Royal Sunset (Continuation) graduation rate in the 2017-2018 school year was 100 percent, unchanged from the previous school year__ graduation rate according to the California Department of Education

According to CDE data, graduation rates continue to indicate an increase in disproportional academic performance between White, Black, Latino, and English-learning students.

According to the National Centre for Education Statistics, in the 2017-2018 school year, of the 50 states where data was collected, students with disabilities were at the bottom of four-year high school graduation rates by student group.

Angela Johnson, a research scientist at NWEA, says __aken together, prior research suggests that inequities exist in the quality of education experienced by current ELsand non-ELs and that these inequities explain achievement gaps in middle and early high school_ in The Effects of English Learner Classification on High School Graduation and College Attendance.",1,0
centraloctimes,"Out of 351 students enrolled in Victoria Elementary School, 15.4 percent were in sixth-grade during the 2018-2019 school year, according to the California Department of Education

The grade with the highest concentration of students was kindergarten with 20.2 percent of all students.

According to numbers provided by the National Center for Education Services, California is expected to see a decrease of three percent in public elementary and secondary school enrollment from 2017-2029. The state expected to see the largest drop in enrollment is New Mexico with a projected 12 percent decrease, while Washington D.C. is projected to see a 14 percent increase over the same time period.

In a survey conducted by the Public Policy Institute of California, seven percent of respondents said large class sizes was the biggest issue facing California's K-12 schools. In the same survey, 50 percent of the respondents said they didn__ view the financial resources their local public school was getting as adequate.",0,0
centraloctimes,"Out of 351 students enrolled in Victoria Elementary School, 13.7 percent were in fifth-grade during the 2018-2019 school year, according to the California Department of Education

The grade with the highest concentration of students was kindergarten with 20.2 percent of all students.

According to numbers provided by the National Center for Education Services, California is expected to see a decrease of three percent in public elementary and secondary school enrollment from 2017-2029. The state expected to see the largest drop in enrollment is New Mexico with a projected 12 percent decrease, while Washington D.C. is projected to see a 14 percent increase over the same time period.

In a survey conducted by the Public Policy Institute of California, seven percent of respondents said large class sizes was the biggest issue facing California's K-12 schools. In the same survey, 50 percent of the respondents said they didn__ view the financial resources their local public school was getting as adequate.",0,0
centraloctimes,"Out of 619 students enrolled in Whittier Elementary School, 14.7 percent were in kindergarten during the 2018-2019 school year, according to the California Department of Education

The grade with the highest concentration of students was sixth-grade with 17.8 percent of all students.

According to numbers provided by the National Center for Education Services, California is expected to see a decrease of three percent in public elementary and secondary school enrollment from 2017-2029. The state expected to see the largest drop in enrollment is New Mexico with a projected 12 percent decrease, while Washington D.C. is projected to see a 14 percent increase over the same time period.

In a survey conducted by the Public Policy Institute of California, seven percent of respondents said large class sizes was the biggest issue facing California's K-12 schools. In the same survey, 50 percent of the respondents said they didn__ view the financial resources their local public school was getting as adequate.",1,0
chicotimes,"Out of 448 students enrolled in Marigold Elementary School, 16.7 percent were in fourth-grade during the 2018-2019 school year, according to the California Department of Education

The grade with the highest concentration of students was third-grade with 18.1 percent of all students.

According to numbers provided by the National Center for Education Services, California is expected to see a decrease of three percent in public elementary and secondary school enrollment from 2017-2029. The state expected to see the largest drop in enrollment is New Mexico with a projected 12 percent decrease, while Washington D.C. is projected to see a 14 percent increase over the same time period.

In a survey conducted by the Public Policy Institute of California, seven percent of respondents said large class sizes was the biggest issue facing California's K-12 schools. In the same survey, 50 percent of the respondents said they didn__ view the financial resources their local public school was getting as adequate.",0,0
chicotimes,"Oakdale Heights Elementary School had 51 fifth-grade students during the 2018-2019 school year, according to the California Department of Education

River Springs Charter School had the most fifth-grade students enrolled in California with 589.

According to numbers provided by the National Center for Education Services, California is expected to see a decrease of three percent in public elementary and secondary school enrollment from 2017-2029. The state expected to see the largest drop in enrollment is New Mexico with a projected 12 percent decrease, while Washington D.C. is projected to see a 14 percent increase over the same time period.

In a survey conducted by the Public Policy Institute of California, seven percent of respondents said large class sizes was the biggest issue facing California's K-12 schools. In the same survey, 50 percent of the respondents said they did not view the financial resources their local public school was getting as adequate.",0,0
chicotimes,"The graduation rate of Filipino students at Las Plumas High School in the 2017-2018 school year remained unchanged from the previous school year__ graduation rate of 100 percent, according to the California Department of Education

According to CDE data, graduation rates indicate an increase in disproportional academic performance between white, Black, Latino, and English learner students.

According to the National Centre for Education Statistics, in the 2017-2018 school year, of the 50 states where data was collected, students with disabilities were at the bottom of 4-year high school graduation rates by student group.

Angela Johnson, a research scientist at NWEA, says __aken together, prior research suggests that inequities exist in the quality of education experienced by current ELs and non-ELs and that these inequities explain achievement gaps in middle and early high school_ in The Effects of English Learner Classification on High School Graduation and College Attendance.",1,0
eastalamedanews,"Foothill High School's graduation rate in the 2017-2018 school year was 97.9 percent, an improvement over the previous school year__ graduation rate of 97.5 percent, according to the California Department of Education

According to CDE data, graduation rates continue to indicate an increase in disproportional academic performance between White, Black, Latino, and English-learning students.

According to the National Centre for Education Statistics, in the 2017-2018 school year, of the 50 states where data was collected, students with disabilities were at the bottom of four-year high school graduation rates by student group.

Angela Johnson, a research scientist at NWEA, says __aken together, prior research suggests that inequities exist in the quality of education experienced by current ELsand non-ELs and that these inequities explain achievement gaps in middle and early high school_ in The Effects of English Learner Classification on High School Graduation and College Attendance.",1,0
