article_id,condition,prompt_id,run,source,title,school_type,state,bias_score,justification,input_tokens,output_tokens
victorvalleytimes--2021-05-10--51 deaths after taking the COVID-19 vaccine were 65 years old,,,,victorvalleytimes,51 deaths after taking the COVID-19 vaccine were 65 years old,,,5,"Article presents causation without evidence ('deaths after taking the vaccine'), cites a fringe source (National Vaccine Information Center), includes false claims that mRNA vaccines are 'gene therapy' and 'chemotherapy agents,' and amplifies debunked claims about spike proteins being toxins—all hallmarks of disinformation and propaganda.",1026,90
victorvalleytimes--2021-05-10--34 people at the age of 63 die after taking the COVID-19 vaccine across the US,,,,victorvalleytimes,34 people at the age of 63 die after taking the COVID-19 vaccine across the US,,,5,"Article contains fabricated statistics (specific death count attributed to vaccines without credible evidence), misrepresents vaccine mechanisms as 'gene therapy' and 'toxins,' selectively quotes a non-virologist source making false claims, and uses inflammatory language designed to create distrust and fear rather than inform.",1031,83
"eastsierranews--2021-05-10--Madera sees 39,600 nonfarm payroll employees in March",,,,eastsierranews,"Madera sees 39,600 nonfarm payroll employees in March",,,0,"Article presents purely factual employment statistics from the U.S. Bureau of Labor Statistics with no editorial framing, charged language, or selective omission of information.",948,53
sanmateosun--2021-05-10--California ranked 39th in home vacancy rate in 2020,,,,sanmateosun,California ranked 39th in home vacancy rate in 2020,,,0,"Article presents factual data from the U.S. Census Bureau with neutral language, clear definitions, and no editorial framing or selective emphasis favoring any perspective.",976,53
northsactoday--2021-05-11--Total non-farm payroll employees in California decreases by 2.2% in January,,,,northsactoday,Total non-farm payroll employees in California decreases by 2.2% in January,,,0,"Article is purely factual, presenting employment statistics with neutral language, methodological explanation, and no editorial framing or advocacy for any perspective.",962,48
mobilecourant--2021-05-10--U.S. health care construction spending up 3.79% from May to June 2020,,,,mobilecourant,U.S. health care construction spending up 3.79% from May to June 2020,,,0,"Article presents factual data from the U.S. Census Bureau with neutral language, clear definitions of what is included/excluded, and objective explanation of methodology with no editorial framing or selective emphasis favoring any perspective.",972,64
azbusinessdaily--2021-04-15--At least 1 professional license is set to expire in Green Valley during week ending April 24,,,,azbusinessdaily,At least 1 professional license is set to expire in Green Valley during week ending April 24,,,0,"Article is purely factual, reporting specific license expiration data from Arizona state records and supporting context with statistics from the U.S. Small Business Administration and Civic Economics, presented without editorial framing, charged language, or selective emphasis favoring any perspective.",930,72
reddingtoday--2021-05-10--1 professional license issued in zip code 96002 during week ending May 1,,,,reddingtoday,1 professional license issued in zip code 96002 during week ending May 1,,,0,"Article is purely factual, reporting specific licensing data from an official government source with neutral language and no editorial framing or perspective favoring any position.",927,50
decaturtimes--2021-05-11--Alabama collected $2.2 million in pari-mutuels sales tax in 2020,,,,decaturtimes,Alabama collected $2.2 million in pari-mutuels sales tax in 2020,,,0,"Article is purely factual, presenting tax collection statistics from the U.S. Census Bureau with no editorial framing, charged language, or bias toward any perspective.",965,53
gadsdentoday--2021-05-10--Total construction spending up 2.2% from September 2019 to September 2020,,,,gadsdentoday,Total construction spending up 2.2% from September 2019 to September 2020,,,0,"Article presents factual data from U.S. Census Bureau with neutral language, clear definitions of what is included/excluded, and objective explanation of methodology with no editorial framing or bias.",996,58
"gadsdentoday--2021-05-10--1,775 people in their thirties in US test positive for COVID-19 during week ending March 5",,,,gadsdentoday,"1,775 people in their thirties in US test positive for COVID-19 during week ending March 5",,,0,"Article presents factual statistics from authoritative sources (CDC, AAP, Children's Hospital Association, Mayo Clinic) with neutral language and no editorial framing or selective emphasis favoring any particular perspective.",982,61
phxreporter--2021-05-10--Steve Nosek donates $300 to Martha McSally's campaign committee in Q3 2020,,,,phxreporter,Steve Nosek donates $300 to Martha McSally's campaign committee in Q3 2020,,,0,"Article is purely factual, reporting only a specific donation amount, FEC regulatory information, and presenting data in a table format with no editorial language, framing, or bias evident.",929,57
eastarizonanews--2021-05-10--Arizona deaths did not exceed upper threshold of death expectancy during week ending April 24,,,,eastarizonanews,Arizona deaths did not exceed upper threshold of death expectancy during week ending April 24,,,0,"Article is purely factual, presenting CDC data on Arizona death counts, defining excess deaths objectively, citing a peer-reviewed study with direct quotes, and including relevant context without editorial framing or charged language.",1033,62
sealaskanews--2021-05-10--439 people in their seventies in US test positive for COVID-19 during week ending March 5,,,,sealaskanews,439 people in their seventies in US test positive for COVID-19 during week ending March 5,,,0,"Article presents factual COVID-19 statistics from authoritative sources (CDC, AAP, Children's Hospital Association, Mayo Clinic) with no discernible bias, charged language, or editorial framing.",980,63
bentontimes--2021-05-10--40% fewer people test positive for type B flu during week ending April 17,,,,bentontimes,40% fewer people test positive for type B flu during week ending April 17,,,0,"Article presents factual data from CDC sources with specific numbers and comparisons, uses neutral language, and explains methodology without editorial framing or selective emphasis favoring any particular perspective.",1005,55
yavapainews--2021-05-10--Patrice Horstman donates $250 to Tom O'Halleran's campaign committee in Q3 2020,,,,yavapainews,Patrice Horstman donates $250 to Tom O'Halleran's campaign committee in Q3 2020,,,0,"Article is purely factual reporting of FEC donation data with no editorial voice, charged language, or favoring of any perspective.",948,46
baldwintimes--2021-05-10--Stations with the cheapest diesel gas in Magnolia Springs for the week of April 26-May 2,,,,baldwintimes,Stations with the cheapest diesel gas in Magnolia Springs for the week of April 26-May 2,,,0,"Article is purely factual reporting of gas price data from a specific source with a neutral disclaimer about price fluctuations; no editorial framing, bias language, or selective omission of information.",910,59
sealaskanews--2021-05-10--Haines had six business licenses issued during week ending May 1,,,,sealaskanews,Haines had six business licenses issued during week ending May 1,,,0,"Article is purely factual, reporting business license statistics without editorial commentary, charged language, or bias toward any perspective.",935,43
coconinonews--2021-05-10--Arizona ranked 34th in home vacancy rate in 2020,,,,coconinonews,Arizona ranked 34th in home vacancy rate in 2020,,,0,"Article is purely factual, presenting Census Bureau data with objective language, no editorial framing, and neutral presentation of statistics without advocacy or selective emphasis.",975,50
"necalinews--2021-05-10--Inventories in turbines, generators and other power transmission equipment industry fall 0.6 percent",,,,necalinews,"Inventories in turbines, generators and other power transmission equipment industry fall 0.6 percent in January",,,0,"The article is purely factual, presenting Census Bureau data on inventory changes with objective language, no charged terminology, and appropriate context about data collection methodology without editorial framing or advocacy.",1042,56
eastarizonanews--2021-05-10--Inventories in metalworking machinery manufacturing industry climb 1 percent in January,,,,eastarizonanews,Inventories in metalworking machinery manufacturing industry climb 1 percent in January,,,0,"Article presents factual Census Bureau data with objective language, no editorial framing, and includes methodological context about data collection without favoring any perspective.",1033,50
goldenstatetoday--2021-05-10--3 professional licenses set to expire in Arcata during Q2,,,,goldenstatetoday,3 professional licenses set to expire in Arcata during Q2,,,0,"Article is purely factual, presenting objective information about expiring professional licenses with supporting context about regulatory agencies and economic data, using neutral language with no editorial framing or advocacy for any position.",1009,58
"yavapainews--2021-05-10--John Dawson donates $2,900 to Tom O'Halleran's campaign committee in March",,,,yavapainews,"John Dawson donates $2,900 to Tom O'Halleran's campaign committee in March",,,0,"Article is purely factual, reporting a specific campaign donation with FEC regulation context and no editorial framing or charged language.",911,45
cabusinessdaily--2021-03-19--Clarksburg Middle School had 86 seventh-grade students during 2018-2019 school year,,,,cabusinessdaily,Clarksburg Middle School had 86 seventh-grade students during 2018-2019 school year,,,0,"Article is purely factual, presenting only statistical data from official sources (California Department of Education, National Center for Education Services, Public Policy Institute of California) without editorial framing, opinion, or selective emphasis.",1020,62
sevalleytimes--2021-05-11--One escrow agent license set to expire in zip code 85207 during Q3 2021,,,,sevalleytimes,One escrow agent license set to expire in zip code 85207 during Q3 2021,,,0,"Article is purely factual, reporting specific licensing data from Arizona State records and including contextual statistics from established sources (SBA, Civic Economics) without editorial language, opinion, or framing that favors any perspective.",935,65
southbirminghamtimes--2021-05-10--20 people die from influenza and pneumonia in Alabama during week ending Feb. 20,,,,southbirminghamtimes,20 people die from influenza and pneumonia in Alabama during week ending Feb. 20,,,0,"Article is purely factual, presenting CDC statistics with objective language, including relevant context about reporting underestimation and vulnerability factors without editorial framing or bias toward any perspective.",1055,55
"tuscaloosaleader--2021-05-10--1,080 people in their sixties in US test positive for COVID-19 during week ending March 5",,,,tuscaloosaleader,"1,080 people in their sixties in US test positive for COVID-19 during week ending March 5",,,0,"Article presents factual statistics from CDC with straightforward reporting of numbers, hospitalization rates, gender breakdown, and supporting context from medical organizations without editorial language, selective framing, or advocacy for any particular perspective.",984,62
tuscaloosaleader--2021-05-10--Inventories in nondefense aircraft and parts industry fall 0.5 percent in February,,,,tuscaloosaleader,Inventories in nondefense aircraft and parts industry fall 0.5 percent in February,,,0,"The article presents factual economic data from the U.S. Census Bureau with neutral language, objective framing, and no editorial voice or selective emphasis favoring any particular perspective.",1041,56
"norcalrecord--2021-05-11--May 3: Superior Court of California for San Francisco County docket for ""business tort"" cases",,,,norcalrecord,"May 3: Superior Court of California for San Francisco County docket for ""business tort"" cases",,,0,"The article is purely factual and neutral, simply listing court docket information with a clear disclaimer that details are allegations only and should not be taken as fact, with no editorializing or bias in language or framing.",859,65
socalrecord--2021-05-11--San Luis Obispo officer accused of assaulting man having mental health episode,,,,socalrecord,San Luis Obispo officer accused of assaulting man having mental health episode,,,1,"Article is primarily factual and neutral in presenting the lawsuit details, though the phrase 'allegedly attempted to restrain him with physical force despite being aware of his mental distress' subtly frames the officer's actions unfavorably by emphasizing the plaintiff's vulnerable state.",1077,75
nesacramentonews--2021-05-10--Inventories in metalworking machinery manufacturing industry climb 1 percent in January,,,,nesacramentonews,Inventories in metalworking machinery manufacturing industry climb 1 percent in January,,,0,"Article is purely factual, presenting Census Bureau data with objective language, neutral framing, and straightforward reporting of statistics without editorial commentary or selective emphasis.",1034,51
"scalaskanews--2021-05-10--John Sherman donates $2,800 to Alyse Galvin's campaign committee in Q3 2020",,,,scalaskanews,"John Sherman donates $2,800 to Alyse Galvin's campaign committee in Q3 2020",,,0,"Article is purely factual, reporting a specific campaign donation with FEC disclosure details and regulatory context without editorial framing, charged language, or advocacy for any perspective.",941,53
"northsactoday--2021-05-11--Clay Shannon donates $1,000 to Michael C. Thompson's campaign committee in March",,,,northsactoday,"Clay Shannon donates $1,000 to Michael C. Thompson's campaign committee in March",,,0,"Article is purely factual, reporting a donation amount with FEC context and regulatory information in neutral, objective language without editorial framing or advocacy.",898,49
"solanosun--2021-05-10--34,560 people in their forties in US test positive for COVID-19 during April",,,,solanosun,"34,560 people in their forties in US test positive for COVID-19 during April",,,0,"Article presents factual statistics from CDC and medical organizations with neutral language, no editorial framing, and no loaded terminology or selective omission of information.",996,50
santacruzstandard--2021-05-10--U.S. used car dealers report $11.8 billion in sales for June,,,,santacruzstandard,U.S. used car dealers report $11.8 billion in sales for June,,,0,"Article is purely factual, reporting Census Bureau data with neutral language, explaining the survey methodology, and containing no editorial framing, charged language, or selective presentation of information.",969,55
sevalleytimes--2021-05-11--One registered trainee appraiser license set to expire in zip code 85207 during Q3 2021,,,,sevalleytimes,One registered trainee appraiser license set to expire in zip code 85207 during Q3 2021,,,0,"Article is purely factual, presenting specific licensing data from Arizona state records along with cited statistics from authoritative sources (SBA, Civic Economics) without editorial commentary, charged language, or bias toward any perspective.",941,63
redwoodempirenews--2021-05-10--Mining industry Q3 net sales down 33.1%,,,,redwoodempirenews,Mining industry Q3 net sales down 33.1%,,,0,"Article is purely factual, presenting Census Bureau data with objective language, defining key terms (net sales, QFR), and providing methodology context without editorial framing or bias.",966,56
southsfbaynews--2021-05-11--1070 people in 75-84 age group in California are estimated to have died during week ending April 17,,,,southsfbaynews,1070 people in 75-84 age group in California are estimated to have died during week ending April 17,,,2,"The article presents factual CDC data but includes an unnecessary tangent about benefit fraud that creates an implied editorial connection between death reporting lags and criminal misuse, framing normal statistical reporting processes with suspicion through phrases like 'some use it for more nefarious reasons.'",1042,76
norcalrecord--2021-05-10--California Trucking Association seeks new hearing in AB 5 case,,,,norcalrecord,California Trucking Association seeks new hearing in AB 5 case,,,0,"The article presents factual information about the legal proceedings with neutral language, includes relevant details about both the court's ruling and the CTA's response, and provides context through direct quotes without editorial commentary or charged terminology.",1254,63
southalamedanews--2021-05-10--Inventories in metalworking machinery manufacturing industry climb 1 percent in January,,,,southalamedanews,Inventories in metalworking machinery manufacturing industry climb 1 percent in January,,,0,"Article presents factual data from the U.S. Census Bureau with neutral language, objective reporting of statistics, and explanation of methodology without editorial framing or selective emphasis favoring any perspective.",1033,58
"eastsbvtimes--2021-05-10--1,479 youth between the age of 10-19 in US test positive for COVID-19 during week ending March 5",,,,eastsbvtimes,"1,479 youth between the age of 10-19 in US test positive for COVID-19 during week ending March 5",,,0,"Article presents factual data from authoritative sources (CDC, AAP, Children's Hospital Association, Mayo Clinic) with neutral language, no editorial framing, and no selective omission of relevant perspectives.",992,62
huntsvilleleader--2021-05-10--U.S. health care construction spending up 3.79% from May to June 2020,,,,huntsvilleleader,U.S. health care construction spending up 3.79% from May to June 2020,,,0,"Article presents factual data from the U.S. Census Bureau with neutral language, explains methodology clearly, and contains no editorial framing, charged language, or selective emphasis favoring any perspective.",973,59
selatimes--2021-05-10--1 professional license was issued in Cudahy during week ending May 1,,,,selatimes,1 professional license was issued in Cudahy during week ending May 1,,,0,"Article is purely factual, presenting objective information about a professional license issuance with neutral language and providing contextual background about the DCA without editorial framing or bias.",924,55
southalamedanews--2021-05-11--Inventories in computer storage device manufacturing industry climb 4.2 percent in January,,,,southalamedanews,Inventories in computer storage device manufacturing industry climb 4.2 percent in January,,,0,"Article is purely factual, reporting Census Bureau statistics on inventory changes with objective language, no editorial framing, and straightforward presentation of data without advocacy or bias.",1037,53
swalaskanews--2021-05-10--Flu testing decreases by 15.4% during week ending April 17,,,,swalaskanews,Flu testing decreases by 15.4% during week ending April 17,,,0,"Article is purely factual, presenting CDC data and statistics without editorial language, loaded words, or framing that favors any particular perspective.",1041,48
"southsactoday--2021-05-10--Out of 611 students in Florin Elementary School, 17 percent were in kindergarten during 2018-2019 sc",,,,southsactoday,"Out of 611 students in Florin Elementary School, 17 percent were in kindergarten during 2018-2019 school year",,,0,"Article presents factual enrollment statistics and survey data from official sources with no editorial framing, charged language, or selective presentation of opposing viewpoints.",1014,49
sealaskanews--2021-05-10--Inventories in material handling equipment manufacturing industry climb 0.6 percent in January,,,,sealaskanews,Inventories in material handling equipment manufacturing industry climb 0.6 percent in January,,,0,"Article is purely factual, reporting Census Bureau statistics with neutral language, no editorial framing, and contextual explanation of data collection methodology without advocacy or bias.",1037,52
oaklandrecord--2021-05-11--New manufacturing orders for consumer durable goods fell 4.5% in October 2020,,,,oaklandrecord,New manufacturing orders for consumer durable goods fell 4.5% in October 2020,,,0,"Article is purely factual, presenting Census Bureau data with objective language, neutral framing, no editorial commentary, and factual explanation of methodology and data collection.",1039,52
"centralalamedanews--2021-05-10--1,480 people in their fifties in US test positive for COVID-19 during week ending March 5",,,,centralalamedanews,"1,480 people in their fifties in US test positive for COVID-19 during week ending March 5",,,0,"Article presents factual data from CDC with no editorial framing, charged language, or selective emphasis; includes context from health organizations without advocacy or bias.",966,50
"swvalleytimes--2021-05-10--1,479 youth between the age of 10-19 in US test positive for COVID-19 during week ending March 5",,,,swvalleytimes,"1,479 youth between the age of 10-19 in US test positive for COVID-19 during week ending March 5",,,0,"Article presents factual data from official sources (CDC, AAP, Children's Hospital Association, Mayo Clinic) with objective language, no editorial framing, and relevant context about symptom severity without advocacy or selective emphasis.",992,65
riverregiontimes--2021-05-10--Furniture and home furnishings wholesalers report $12.1 billion in November inventories,,,,riverregiontimes,Furniture and home furnishings wholesalers report $12.1 billion in November inventories,,,0,"Article is purely factual, reporting Census Bureau data with neutral language, methodology explanation, and no editorial framing or selective emphasis favoring any perspective.",971,50
"reddingtoday--2021-05-10--Out of 26 students in Junction Elementary School, two were in kindergarten during 2018-2019 school y",,,,reddingtoday,"Out of 26 students in Junction Elementary School, two were in kindergarten during 2018-2019 school year",,,0,"Article presents factual enrollment statistics from official sources (California Department of Education, National Center for Education Services) with neutral language, no editorial framing, and straightforward reporting of data without advocacy or selective emphasis.",1028,62
goldcountrytoday--2021-05-10--Inventories in metalworking machinery manufacturing industry climb 1 percent in January,,,,goldcountrytoday,Inventories in metalworking machinery manufacturing industry climb 1 percent in January,,,0,"Article presents factual economic data from the U.S. Census Bureau with neutral language, no editorial framing, and objective reporting of statistics without advocating for any particular perspective.",1034,56
oaklandrecord--2021-05-11--Health care construction spending up 4.2% from September 2019 to September 2020,,,,oaklandrecord,Health care construction spending up 4.2% from September 2019 to September 2020,,,0,"Article presents purely factual Census Bureau data with clear methodology explanation, no editorial voice, charged language, or selective framing that would favor any perspective.",994,50
azbusinessdaily--2021-04-15--11 retail trade businesses in ZIP code 85747 employ between 5 and 9 people in 2017,,,,azbusinessdaily,11 retail trade businesses in ZIP code 85747 employ between 5 and 9 people in 2017,,,0,"Article is purely factual, reporting only statistical data from the Census Bureau with no editorial voice, opinions, or selective framing of information.",943,48
marinleader--2021-05-11--Authorization of construction on West US multi-family homes in March falls over previous month,,,,marinleader,Authorization of construction on West US multi-family homes in March falls over previous month,,,0,"Article is purely factual, reporting statistical data from official government sources (Census Bureau and HUD) with neutral language and no editorial framing or selective emphasis.",942,52
sealaskanews--2021-05-10--Shipments of apparel fall 2 percent in November 2019,,,,sealaskanews,Shipments of apparel fall 2 percent in November 2019,,,0,"Article presents factual economic data with neutral language, provides context about data collection methodology, and makes no editorial claims or selective framing of the statistics.",1036,50
wiregrasstimes--2021-05-10--Stations with the cheapest midgrade gas in Headland for the week of April 26-May 2,,,,wiregrasstimes,Stations with the cheapest midgrade gas in Headland for the week of April 26-May 2,,,0,"Article is purely factual, reporting specific gas price data from GasBuddy.com with appropriate caveats about price fluctuations and data accuracy timing, with no editorial framing or selective language.",932,63
solanosun--2021-05-10--439 people in their seventies in US test positive for COVID-19 during week ending March 5,,,,solanosun,439 people in their seventies in US test positive for COVID-19 during week ending March 5,,,0,"Article presents factual statistics from CDC and medical institutions without editorial framing, charged language, or selective presentation of information to favor any perspective.",979,48
eastsierranews--2021-05-10--794 children under the age of 10 in US test positive for COVID-19 during week ending March 5,,,,eastsierranews,794 children under the age of 10 in US test positive for COVID-19 during week ending March 5,,,0,"Article presents factual CDC data with neutral language, includes context from medical authorities (AAP, Children's Hospital Association, Mayo Clinic) without editorial framing, and avoids charged terminology or selective emphasis.",982,62
akbusinessdaily--2021-05-10--Joanne Kaiser donates $85 to Alyse Galvin's campaign committee in Q3 2020,,,,akbusinessdaily,Joanne Kaiser donates $85 to Alyse Galvin's campaign committee in Q3 2020,,,0,"The article is purely factual, reporting a specific FEC-documented donation with neutral language, providing regulatory context, and presenting information without editorial framing or advocacy.",942,53
verdugosnews--2021-05-10--Mining industry Q3 net sales down 33.1%,,,,verdugosnews,Mining industry Q3 net sales down 33.1%,,,0,"Article is purely factual, presenting Census Bureau data with neutral language, defining key terms (net sales, QFR), and explaining data sources and methodology without editorial framing or selective emphasis.",964,59
calaverasguide--2021-05-02--Calaveras County Public Works are currently meeting members of the public by appointment only,,,,calaverasguide,Calaveras County Public Works are currently meeting members of the public by appointment only,,,0,"Article is purely factual, presenting only official information from Calaveras County Public Works about their services, location, appointment scheduling, and available resources with no editorial framing, charged language, or selective presentation of perspectives.",972,65
interioralaskanews--2021-05-10--Stations with the cheapest diesel gas in Nenana for the week of April 26-May 2,,,,interioralaskanews,Stations with the cheapest diesel gas in Nenana for the week of April 26-May 2,,,0,"Purely factual reporting of gas price data with objective language, a single specific data point, and a disclaimer about price volatility; no editorial framing or bias detected.",910,55
fresnoleader--2021-05-10--Miscellaneous manufacturing industry Q4 net sales up 21.8%,,,,fresnoleader,Miscellaneous manufacturing industry Q4 net sales up 21.8%,,,0,"The article is purely factual, presenting Census Bureau data without editorial framing, charged language, or selective emphasis; it defines key terms and explains the methodology transparently without advocating for any particular perspective.",970,61
northsgvnews--2021-05-11--174 seniors over 79 who were in US test positive for COVID-19 during week ending March 6,,,,northsgvnews,174 seniors over 79 who were in US test positive for COVID-19 during week ending March 6,,,0,"Article presents factual statistics from CDC and medical organizations without editorial framing, charged language, or selective omission of perspectives; it is purely informational reporting of data.",981,54
southalamedanews--2021-05-10--Mining industry Q3 net sales down 33.1%,,,,southalamedanews,Mining industry Q3 net sales down 33.1%,,,0,"Article is purely factual, presenting Census Bureau statistics with objective language, clear methodology explanation, and no editorial framing or bias toward any perspective.",964,49
northalaskanews--2021-05-10--Inventories in photographic equipment manufacturing industry climb 0.7 percent in February,,,,northalaskanews,Inventories in photographic equipment manufacturing industry climb 0.7 percent in February,,,0,"Article presents factual economic data from the U.S. Census Bureau with neutral language, no editorial framing, no charged words, and provides context about data collection methodology without advocacy or selective emphasis.",1037,60
kerncountytimes--2021-05-10--Pauline M. Seward donates $75 to Kevin McCarthy's campaign committee in Q3 2020,,,,kerncountytimes,Pauline M. Seward donates $75 to Kevin McCarthy's campaign committee in Q3 2020,,,0,"Article is purely factual reporting of FEC-disclosed donation data with objective language, no editorial framing, and neutral presentation of regulatory information.",930,49
"fresnoleader--2021-05-10--Out of 645 students in Lane Elementary School, 15 percent were in fifth-grade during 2018-2019 schoo",,,,fresnoleader,"Out of 645 students in Lane Elementary School, 15 percent were in fifth-grade during 2018-2019 school year",,,0,"Article presents factual enrollment statistics from official sources (California Department of Education, National Center for Education Services, Public Policy Institute of California) with no editorial framing, charged language, or selective omission of context.",1035,63
sevalleytimes--2021-05-11--Arizona State Board of Physical Therapy issues one physical therapist license in zip code 85281 duri,,,,sevalleytimes,Arizona State Board of Physical Therapy issues one physical therapist license in zip code 85281 during Q1,,,0,"Article is purely factual, reporting specific licensing data from official state sources alongside relevant contextual statistics about small businesses and local economic impact, with no editorial framing, charged language, or selective presentation of viewpoints.",953,63
northalaskanews--2021-05-10--Alaska ranked 1st in home vacancy rate in 2020,,,,northalaskanews,Alaska ranked 1st in home vacancy rate in 2020,,,0,"Article presents factual information from Census Bureau data with objective language, includes definitions of terms, provides context about methodology, and compares Alaska's rate to national average without editorial framing or charged language.",974,60
santaclaratoday--2021-05-10--794 children under the age of 10 in US test positive for COVID-19 during week ending March 5,,,,santaclaratoday,794 children under the age of 10 in US test positive for COVID-19 during week ending March 5,,,0,"Article is purely factual, reporting specific statistics from CDC with no editorial language, charged terminology, or selective framing; presents medical perspective from Mayo Clinic without advocacy or bias.",983,56
marinleader--2021-05-10--Beth Inadomi donates $500 to Jared Huffman's campaign committee in Q3 2020,,,,marinleader,Beth Inadomi donates $500 to Jared Huffman's campaign committee in Q3 2020,,,0,"Article is purely factual, reporting a specific donation amount from FEC data with neutral language and providing objective context about campaign finance regulations without editorial commentary or framing.",936,53
marinleader--2021-05-11--U.S. automobile and other motor vehicle dealers report $106.2 billion in sales for June,,,,marinleader,U.S. automobile and other motor vehicle dealers report $106.2 billion in sales for June,,,0,"Article presents factual Census Bureau data with neutral language, explains the methodology of data collection, and contains no editorial framing, charged language, or selective presentation of information.",972,54
decaturtimes--2021-05-10--Stations with the cheapest diesel gas in Hillsboro for the week of April 26-May 2,,,,decaturtimes,Stations with the cheapest diesel gas in Hillsboro for the week of April 26-May 2,,,0,"Article is purely factual, reporting specific data about gas prices from GasBuddy.com with no editorial framing, charged language, or bias toward any perspective.",912,55
southbirminghamtimes--2021-05-10--Shipments of paper products climb 0.1 percent in November 2019,,,,southbirminghamtimes,Shipments of paper products climb 0.1 percent in November 2019,,,0,"Article is purely factual, presenting Census Bureau data with neutral language, explaining methodology, and providing context without editorial commentary or selective framing of information.",1043,50
santacruzstandard--2021-05-10--Total construction spending up 2.2% from September 2019 to September 2020,,,,santacruzstandard,Total construction spending up 2.2% from September 2019 to September 2020,,,0,"The article is purely factual, presenting Census Bureau statistics with neutral language, clear definitions of what is included in the data, and transparent methodology without editorial framing or selective emphasis of any perspective.",997,59
swarkansastimes--2021-05-10--Shipments of apparel fall 2 percent in November 2019,,,,swarkansastimes,Shipments of apparel fall 2 percent in November 2019,,,0,"Article presents factual data from Census Bureau reports with neutral language, provides context about data collection methodology, and contains no editorial framing or bias.",1036,49
selatimes--2021-05-10--Stations with the cheapest midgrade gas in Maywood for the week of April 26-May 2,,,,selatimes,Stations with the cheapest midgrade gas in Maywood for the week of April 26-May 2,,,0,"Article is purely factual, reporting specific gas price data with a named source (GasBuddy.com) and appropriate disclaimer about price fluctuations; no editorial framing, charged language, or bias detected.",914,65
sevalleytimes--2021-05-11--Arizona Board of Psychologist Examiners issues one behavior analyst license in Tempe during Q1,,,,sevalleytimes,Arizona Board of Psychologist Examiners issues one behavior analyst license in Tempe during Q1,,,0,"The article is purely factual, reporting a specific licensing statistic from an official government source (Arizona Board of Psychologist Examiners) and supporting contextual economic data from credible sources (U.S. Small Business Administration, Civic Economics) with no editorial voice, charged language, or selective framing of opposing perspectives.",954,89
