source,n_articles,label,bias,factuality,credibility,conspiracy,pseudosci,type,country
theheartysoul,1119,Conspiracy-Pseudoscience,,Mixed,Low,,,Website,Canada
theirishtimes,22382,Left-Center,Left-Center,High,High,,,Newspaper,Ireland
thenewyorktimes,54631,Left-Center,Left-Center,High,High,,,Newspaper,USA
thepoliticalinsider,16054,Questionable Source,Extreme Right,Low,Low,,,Website,USA
thepostmillennial,1385,Right,Right,Mixed,Medium,,,Website,Canada
therightscoop,11267,Questionable Source,Right,Mixed,Low,,,Website,Canada
thesun,218695,Right,Right,Mixed,Medium,,,Newspaper,United Kingdom
theverge,22258,Left-Center,Left-Center,High,High,,,Website,USA
vox,15270,Left,Left,Mostly Factual,High,,,Website,USA
washingtonexaminer,14117,Right,Right,Mixed,Medium,,,Newspaper,USA
washingtonmonthly,3285,Left-Center,Left-Center,High,High,,,Magazine,USA
