article_id,source,title,bias_score,justification,input_tokens,output_tokens
sanfransun--2022-04-03--How many points did Jordyn Ellison from Inglewood win in Girls’ 18 singles USTA competitions by the ,sanfransun,How many points did Jordyn Ellison from Inglewood win in Girls’ 18 singles USTA competitions by the week ending Feb. 25?,0,"The article presents factual information about a tennis player's tournament results and ranking with neutral, objective language and no detectable editorial framing or bias toward any perspective.",451,53
tucsonstandard--2022-08-04--Maya Badghisi junior tennis player earns 46 playing Girls’ 12 singles by week ending July 8,tucsonstandard,Maya Badghisi junior tennis player earns 46 playing Girls’ 12 singles by week ending July 8,0,"The article presents factual information about a junior tennis player's tournament results and ranking with neutral language, basic context about how the USTA points system works, and an uncontroversial quote about competitive youth sports, without apparent editorial framing or bias toward any perspective.",440,76
"southlaketoday--2021-06-24--Jesus Rafael Cedeno donates $5,600 to Maria Elvira Salazar's campaign in 2020",southlaketoday,"Jesus Rafael Cedeno donates $5,600 to Maria Elvira Salazar's campaign in 2020",0,"The article presents factual information about a campaign donation with neutral language, provides regulatory context through FEC explanation, and makes no editorial commentary or value judgments about the donation or donor.",404,57
centralmissourinews--2022-10-24--How high did Camdenton junior tennis player Alexander Hendon rank in Boys’ 14 bracket in week ending,centralmissourinews,How high did Camdenton junior tennis player Alexander Hendon rank in Boys’ 14 bracket in week ending Oct. 15?,0,"This article presents factual information about a tennis player's ranking with neutral language, explains the USTA ranking system objectively, and includes a balanced quote about competitive sports without editorial framing or bias toward any perspective.",463,64
ashevillereporter--2022-09-08--Alex Lazich junior tennis player earns 751 playing Boys 12 singles by week ending Sept. 3,ashevillereporter,Alex Lazich junior tennis player earns 751 playing Boys 12 singles by week ending Sept. 3,0,"The article is factual and neutral, presenting only objective information about a junior tennis player's tournament performance and ranking with no editorial framing, loaded language, or selective emphasis toward any particular perspective.",441,59
"scconnnews--2021-11-20--William Little donates $2,000 to Jahana Hayes' campaign in 2020",scconnnews,"William Little donates $2,000 to Jahana Hayes' campaign in 2020",0,"The article presents factual, verifiable information about a campaign donation with neutral language, provides context about FEC regulations, and makes no editorial commentary or selective framing that would favor any perspective.",385,59
sanjosestandard--2021-10-13--No new teachers in Lomita sign pledge on Oct. 12 to teach Critical Race Theory,sanjosestandard,No new teachers in Lomita sign pledge on Oct. 12 to teach Critical Race Theory,2,The article shows moderate bias through selective framing that emphasizes the pledge-taking as courageous defiance while characterizing opposition as 'bans' and dismissing critical perspectives (the Freedom Foundation's concerns) as mere accusations without substantive engagement with their actual claims about the content.,555,79
centralwisconsinnews--2022-02-04--No new teachers in Wausau sign pledge in week ending Jan. 29 to teach Critical Race Theory,centralwisconsinnews,No new teachers in Wausau sign pledge in week ending Jan. 29 to teach Critical Race Theory,2,"The article exhibits moderate bias through selective framing, such as describing CRT as merely 'explaining racism is embedded in US culture' without acknowledging the significant debate over its definition and appropriateness in K-12 education, while including a critical quote from a conservative source but not substantive counterarguments or perspectives from those supporting the bans.",524,98
boulderleader--2021-07-04--Anne J. Castle donates $750 to Joseph Neguse's campaign in 2020,boulderleader,Anne J. Castle donates $750 to Joseph Neguse's campaign in 2020,0,"The article presents factual information about a campaign donation with no detectable bias, editorial framing, or loaded language—it simply reports a disclosed FEC contribution and provides regulatory context.",386,57
eastvolusianews--2022-07-11--How many points did Raimey Shaun Miral from Ormond Beach win in Boys’ 14 singles USTA competitions b,eastvolusianews,How many points did Raimey Shaun Miral from Ormond Beach win in Boys’ 14 singles USTA competitions by week ending July 2?,0,"The article presents factual information about a specific player's USTA tournament results with neutral language, objective reporting of rankings, and a brief contextual quote about competitive youth sports without editorial framing or bias.",458,62
"boisecitywire--2021-07-05--Marilyn T. Bruno donates $4,000 to Paulette Jordan's campaign committee in Q4 2020",boisecitywire,"Marilyn T. Bruno donates $4,000 to Paulette Jordan's campaign committee in Q4 2020",0,"The article is factual and neutral, reporting specific donation information from FEC records without editorial commentary, loaded language, or selective framing that would favor either a political perspective or candidate.",400,57
setexasrecord--2021-12-29--Case activity for Daimler Trust vs Zoila Burgos on Dec. 27,setexasrecord,Case activity for Daimler Trust vs Zoila Burgos on Dec. 27,0,"The article is a straightforward factual report of court case filing information with no editorial framing, opinion, loaded language, or bias toward either party.",375,51
swoklahomanews--2022-01-14--No new teachers in Lawton sign pledge on Jan. 12 to teach Critical Race Theory,swoklahomanews,No new teachers in Lawton sign pledge on Jan. 12 to teach Critical Race Theory,2,"The article demonstrates moderate bias through selective framing and language choices that favor the pro-CRT pledge perspective—presenting teacher quotes sympathetically while characterizing legislation as 'bans' rather than neutrally, and including a critical quote from an opposition source only briefly at the end without substantive counterargument or balance.",609,85
midcoasttimes--2021-12-01--26 PPP loans provided to small businesses in ZIP Code 97327 in April 2020,midcoasttimes,26 PPP loans provided to small businesses in ZIP Code 97327 in April 2020,0,"The article presents factual information about PPP loans in a specific ZIP code with neutral language, includes relevant context about program eligibility, and incorporates multiple analytical perspectives on program distribution without advocating for a particular viewpoint.",486,65
nwwaynenews--2021-05-16--Canton Preparatory High School students scored 520 on average on reading and writing portion of the ,nwwaynenews,Canton Preparatory High School students scored 520 on average on reading and writing portion of the SAT (2018-2019),0,"The article presents factual information about SAT scores from an official government source without editorial framing, loaded language, or selective presentation of data that would favor any particular perspective.",394,55
westrgvnews--2022-09-29--Alamo tennis player Chloe Aguilar ranks in Girls’ 16 singles bracket in week ending Aug. 26,westrgvnews,Alamo tennis player Chloe Aguilar ranks in Girls’ 16 singles bracket in week ending Aug. 26,0,"The article presents factual information about a player's tennis ranking with objective language, neutral tone, and no detectable editorial framing, loaded language, or selective presentation designed to favor any particular perspective.",448,60
"segrandrapids--2021-09-09--Sandra Otis earns $17,155 during 2020 working at Delton-Kellogg Schools",segrandrapids,"Sandra Otis earns $17,155 during 2020 working at Delton-Kellogg Schools",0,"The article presents factual information about salary data from a credible source (Michigan Government Salaries Database) without editorial commentary, loaded language, or framing that favors a particular perspective.",381,59
nenorthdakotanews--2021-11-20--2020: Top 10 largest paid-in-full PPP loans provided to small businesses in Lankin,nenorthdakotanews,2020: Top 10 largest paid-in-full PPP loans provided to small businesses in Lankin,0,"The article presents factual information about PPP loans in Lankin with neutral language, includes relevant context about program eligibility and outcomes, acknowledges research findings about distribution disparities, and does not advocate for a particular position on the program's effectiveness.",498,71
southhennepinnews--2021-05-10--Minnesota collected $148.8 million in death and gift taxes in 2020,southhennepinnews,Minnesota collected $148.8 million in death and gift taxes in 2020,0,"The article presents factual information about tax collection data from an official government source without editorializing, loaded language, or selective framing of perspectives.",420,50
sanmateosun--2022-08-18--Andrew Johnson junior tennis player earns 707 playing Boys 16 singles by week ending Aug. 13,sanmateosun,Andrew Johnson junior tennis player earns 707 playing Boys 16 singles by week ending Aug. 13,0,"The article presents factual information about a junior tennis player's tournament results and ranking with objective language, includes an explanatory quote about competitive tennis, and contains no detectable editorial framing, loaded language, or bias toward any perspective.",441,67
shoalstoday--2021-11-03--Katherine Allen donates $150 to Doug Jones' campaign in 2020,shoalstoday,Katherine Allen donates $150 to Doug Jones' campaign in 2020,0,"The article is factual and neutral, presenting only verified FEC data about a campaign donation with no editorial framing, loaded language, or perspective favoring either candidate or party.",373,56
northmichigannews--2022-11-21--2019: Kalkaska law enforcement grapples with less than one theft from motor vehicle per day,northmichigannews,2019: Kalkaska law enforcement grapples with less than one theft from motor vehicle per day,0,"The article presents factual crime statistics from NIBRS in a straightforward manner, explains the reporting system's purpose and limitations objectively, and does not employ loaded language, selective framing, or editorializing that would favor any particular perspective.",491,70
merrimackvalleynews--2022-04-13--Diya Pachamuthu earns 135 bonus points in Girls' 16 bracket by week ending Mar. 12,merrimackvalleynews,Diya Pachamuthu earns 135 bonus points in Girls' 16 bracket by week ending Mar. 12,0,"The article is purely factual and neutral, reporting on a specific achievement with relevant context about how the USTA bonus point system works and including a straightforward quote about youth tennis competition without editorial framing or bias.",427,64
"oneidatimes--2021-05-18--HHS provides $1,541 to a business in Holland Patent under CARES Act",oneidatimes,"HHS provides $1,541 to a business in Holland Patent under CARES Act",0,"The article presents factual information about CARES Act funding distributions with objective language, provides context through state-level statistics and program details, and avoids loaded terminology or editorial framing that would favor one perspective over another.",584,65
ncoklahomanews--2022-12-01--Less than one simple assault per day in Perkins in 2019,ncoklahomanews,Less than one simple assault per day in Perkins in 2019,0,"The article presents factual crime statistics from an official reporting system with neutral language, provides context about the data collection methodology, and acknowledges limitations in the data without editorial framing or bias toward any particular perspective.",480,62
pontiactimes--2022-05-19--Value of Health Care company OPTIMIZERx Corp. (OPRX:NAQ) based in Rochester rose 42.5% in week endin,pontiactimes,Value of Health Care company OPTIMIZERx Corp. (OPRX:NAQ) based in Rochester rose 42.5% in week ending May 14,1,"The article is primarily factual and informative about stock performance, but contains subtle bias through selective emphasis (highlighting Rochester company's strong performance in the headline), an unexplained anomalous figure (Stryker's claimed 3,696,590.9% increase appears erroneous), and inclusion of investment recommendations that favor certain stock types without presenting counterarguments or risks to those recommendations.",643,102
eastcentralreporter--2022-06-09--First Mid Bancshares Inc. (FMBH:NMQ) in Mattoon sees -15.29% change by June 8,eastcentralreporter,First Mid Bancshares Inc. (FMBH:NMQ) in Mattoon sees -15.29% change by June 8,1,"The article presents factual company data but includes a tangential section on investment recommendations that frames certain stock sectors (healthcare, technology, consumer discretionary) as preferable without discussing counterarguments or risks beyond brief mentions, representing a subtle bias toward particular investment perspectives.",531,79
swkansasnews--2022-03-31--How many Jetmore businesses were licensed in 2021?,swkansasnews,How many Jetmore businesses were licensed in 2021?,1,"The article is primarily factual and data-driven about Jetmore business licenses, but includes unnecessary editorial framing in the final paragraphs about Kansas's economic performance that subtly promotes a positive state narrative without presenting counterarguments or alternative economic perspectives.",461,72
denvercitywire--2022-02-19--How high did Denver junior tennis player Kristian Kostadinov rank in Boys’ 16 bracket in week ending,denvercitywire,How high did Denver junior tennis player Kristian Kostadinov rank in Boys’ 16 bracket in week ending Feb. 12?,0,"The article presents factual information about a junior tennis player's ranking with neutral language, explains the ranking methodology clearly, and includes a straightforward quote from an expert without editorial framing or selective emphasis favoring any particular perspective.",469,65
syracusesun--2023-10-22--Where could drivers find the cheapest gas in cities within Madison County in week ending Oct. 21?,syracusesun,Where could drivers find the cheapest gas in cities within Madison County in week ending Oct. 21?,0,"The article presents factual, data-driven information about gas prices with objective language, provides relevant context about price variations and government forecasts, and includes disclaimers about data accuracy and price fluctuations without editorializing or favoring any particular perspective.",538,72
fresnoleader--2021-12-14--April: Top 100 largest PPP loans provided to small businesses in ZIP Code 93710,fresnoleader,April: Top 100 largest PPP loans provided to small businesses in ZIP Code 93710,0,"The article presents factual information about PPP loans in a specific ZIP code with neutral language, includes relevant context about program eligibility and outcomes, and cites multiple credible sources (SBA, Harvard Business School, Peterson Foundation, NBER) without editorial framing or advocacy.",482,78
auburntimes--2021-07-28--David Huntington donates $500 to Thomas H. Tuberville's campaign committee in Q4 2020,auburntimes,David Huntington donates $500 to Thomas H. Tuberville's campaign committee in Q4 2020,0,"The article is factual and neutral, presenting a straightforward report of a campaign donation with relevant regulatory context and without editorial framing, loaded language, or advocacy for any particular perspective.",398,57
southbirminghamtimes--2022-07-16--Clanton Municipal Government: Food Truck Friday,southbirminghamtimes,Clanton Municipal Government: Food Truck Friday,0,"The article is a straightforward community announcement with factual information about a food truck event, neutral language, no editorial commentary, and no favoring of particular perspectives.",343,53
"mercedtimes--2022-08-10--California U.S. Rep Jim Costa: ""See the letter below newdemocratcoalition.house.gov/imo/media/doc/""",mercedtimes,"California U.S. Rep Jim Costa: ""See the letter below newdemocratcoalition.house.gov/imo/media/doc/""",1,"The article presents statements from Rep. Jim Costa that favor Democratic priorities and Biden administration initiatives without providing opposing viewpoints or critical analysis, creating subtle framing bias through selective presentation of the representative's positions.",484,60
plattenews--2022-04-22--Riverside tennis player Justin Janasz ranks in Boys’ 14 bracket in week ending April 9,plattenews,Riverside tennis player Justin Janasz ranks in Boys’ 14 bracket in week ending April 9,0,"The article presents factual information about a player's tennis ranking with neutral language, explains the USTA ranking system objectively, and includes a relevant quote from an expert without editorial framing or advocacy.",451,61
southraleighnews--2022-07-07--Raleigh tennis player Ambrose Alexander ranks in Boys’ 16 bracket in week ending June 25,southraleighnews,Raleigh tennis player Ambrose Alexander ranks in Boys’ 16 bracket in week ending June 25,0,"The article is factual and neutral, presenting only verifiable information about a player's ranking, scoring methodology, and a general quote about competitive tennis without editorial framing, loaded language, or selective presentation of facts.",456,63
pomonavalleynews--2022-05-01--How many points did Ian Minarto from Pomona win in Boys’ 14 singles USTA competitions by week ending,pomonavalleynews,How many points did Ian Minarto from Pomona win in Boys’ 14 singles USTA competitions by week ending April 16?,0,"The article presents factual information about Ian Minarto's tennis ranking with neutral language, objective reporting of statistics, and a balanced quote about competitive tennis that adds context without advocacy.",445,56
eckansasnews--2022-01-06--November: longest patent process for Waverly inventors,eckansasnews,November: longest patent process for Waverly inventors,0,"The article presents factual information about a patent approval in a straightforward manner, includes relevant context from an expert source, and contains no detectable editorial framing, loaded language, or bias toward any perspective.",431,62
morristowntimes--2022-02-25--How did Eli England from Tazewell place in Boys’ 18 USTA standings in the week ending Feb. 19?,morristowntimes,How did Eli England from Tazewell place in Boys’ 18 USTA standings in the week ending Feb. 19?,0,"The article is factual and neutral, presenting only verifiable information about a player's USTA ranking, scoring methodology, and a generic quote about competitive tennis, with no editorial framing, loaded language, or bias toward any perspective.",461,68
quincyreporter--2021-10-13--What did Quincy School District 172 teacher Tabbatha M. Hildebrand earn last school year?,quincyreporter,What did Quincy School District 172 teacher Tabbatha M. Hildebrand earn last school year?,0,"The article presents factual information about a specific teacher's salary using FOIA data, includes relevant context about national teacher salary averages and pension structures, cites credible sources, and maintains neutral language without editorial framing or selective emphasis favoring any particular perspective.",559,74
anokatimes--2021-11-13--Sarah Shahbaz ranks 294th in Girls’ 18 singles bracket in week ending Nov. 6,anokatimes,Sarah Shahbaz ranks 294th in Girls’ 18 singles bracket in week ending Nov. 6,0,"The article is a straightforward factual report on a tennis player's ranking with objective language, specific data points, and a brief contextual quote from an expert without editorial framing or bias.",438,65
wichitastandard--2022-04-02--How many points did Hitha Ganganala from Wichita win in Girls’ 12 singles USTA competitions by the w,wichitastandard,How many points did Hitha Ganganala from Wichita win in Girls’ 12 singles USTA competitions by the week ending Feb. 25?,0,"The article presents factual information about Hitha Ganganala's tennis ranking and point totals with objective language, neutral reporting of data, and a relevant expert quote that provides context without editorial framing.",457,63
nwarkansasnews--2022-06-01--HOLY REDEEMER CHURCH – CLARKSVILLE: May 28 – June Bulletin,nwarkansasnews,HOLY REDEEMER CHURCH – CLARKSVILLE: May 28 – June Bulletin,0,"This is a factual church bulletin announcement that presents information about upcoming events, collections, and activities without editorial commentary, loaded language, or bias toward any perspective.",610,52
"northfairfaxnews--2022-10-15--Ephraim Guthrie ranks 1,991st in Boys’ 18 bracket in week ending Oct. 8",northfairfaxnews,"Ephraim Guthrie ranks 1,991st in Boys’ 18 bracket in week ending Oct. 8",0,"This article is a straightforward factual report on a tennis player's ranking, presenting objective information about rankings, points, and the methodology behind them, with no detectable editorial framing or bias.",467,60
"clevelandreporter--2022-01-28--Gabi Kalir ranks 3,989th in Boys' 18 doubles bracket by week ending Nov. 13, 2021",clevelandreporter,"Gabi Kalir ranks 3,989th in Boys' 18 doubles bracket by week ending Nov. 13, 2021",0,"This is a straightforward factual report on a player's tournament ranking with neutral language, objective presentation of statistics, and only a brief contextual quote from an industry expert without editorial framing or advocacy.",469,61
swalaskanews--2022-05-09--ZIP Code 99632 has one business license issued in April,swalaskanews,ZIP Code 99632 has one business license issued in April,0,"The article presents factual information from official government sources and third-party studies without loaded language, emotional framing, or selective omission of counterarguments, maintaining objective reporting throughout.",382,57
columbusstandard--2021-11-29--Sharon K. Weyland donates $100 to Greg Pence's campaign committee from January to June,columbusstandard,Sharon K. Weyland donates $100 to Greg Pence's campaign committee from January to June,0,"The article presents factual information from FEC records about a campaign donation with neutral language, no editorial commentary, no loaded terminology, and provides relevant context about FEC regulations without framing or bias toward any political perspective.",393,64
waterlootimes--2022-03-18--How high did Cedar Falls junior tennis player Ben Smalley rank in Boys' 16 doubles bracket by week e,waterlootimes,"How high did Cedar Falls junior tennis player Ben Smalley rank in Boys' 16 doubles bracket by week ending Dec. 25, 2021?",0,"The article presents factual, objective information about a junior tennis player's ranking and point totals, includes explanatory context about how rankings work, and contains a straightforward quote from a tennis expert without editorial framing or bias.",470,66
riverbendtimes--2022-01-11--Patent office takes 351 days to approve Clarence inventor’s patent in week ending Jan. 8,riverbendtimes,Patent office takes 351 days to approve Clarence inventor’s patent in week ending Jan. 8,0,"The article presents factual information about a patent approval with neutral language, includes relevant context about patent expiration rates from an expert source, and contains no detectable editorial framing or bias toward any perspective.",447,61
"mkecitywire--2022-01-07--David Einhorn donates $5,800 to Alex Lasry's campaign committee in Q1",mkecitywire,"David Einhorn donates $5,800 to Alex Lasry's campaign committee in Q1",0,"The article presents factual information about a campaign donation with no detectable bias, editorializing, or framing that favors any perspective—it simply reports the donation amount, the donor, the recipient, the time period, and includes regulatory context about FEC disclosure requirements.",392,76
pocatellotimes--2022-07-29--Braeden Johnson ranks 952nd in Boys' 16 doubles bracket by week ending May 7,pocatellotimes,Braeden Johnson ranks 952nd in Boys' 16 doubles bracket by week ending May 7,0,"The article is a straightforward factual report presenting objective tournament rankings data without editorial framing, loaded language, or selective perspective—it simply reports Johnson's ranking, point totals, and includes a generic quote about competitive youth tennis.",452,67
swcoloradonews--2022-02-21--These are the top 10 largest PPP loans in Q2 2020 in ZIP Code 81327,swcoloradonews,These are the top 10 largest PPP loans in Q2 2020 in ZIP Code 81327,0,"The article presents factual information about PPP loans in a specific ZIP code with neutral language, includes relevant background context about the program, and presents findings from multiple sources (Harvard Business School, Peterson Foundation, NBER) without editorial framing or taking a stance on the program's effectiveness.",494,79
orlandostandard--2022-04-26--Shrika Moturi junior tennis player earns 875 playing Girls’ 14 singles by March,orlandostandard,Shrika Moturi junior tennis player earns 875 playing Girls’ 14 singles by March,0,"The article presents factual information about a junior tennis player's ranking with objective language, clear explanations of how USTA points are calculated, and includes a relevant expert quote without editorial framing or advocacy for any particular viewpoint.",452,67
abqtimes--2022-07-10--How high did Albuquerque junior tennis player Connor Dils rank in Boys’ 16 singles bracket by week e,abqtimes,How high did Albuquerque junior tennis player Connor Dils rank in Boys’ 16 singles bracket by week ending July 2?,0,"The article is factual and neutral, presenting objective information about Connor Dils' tennis ranking with no editorial framing, loaded language, or selective presentation of facts.",449,54
panhandletimes--2022-11-24--Carson Slade Faulks' water well driller/pump installer license set to expire in December,panhandletimes,Carson Slade Faulks' water well driller/pump installer license set to expire in December,0,"The article presents factual, publicly available information about a professional license expiration with neutral language, no editorial framing, and contextual background about the licensing agency without advocacy or bias.",444,57
neatlantanews--2022-03-17--How many Gainesville junior tennis players are making a racket in the USTA Boys’ 12 category in week,neatlantanews,How many Gainesville junior tennis players are making a racket in the USTA Boys’ 12 category in week ending March 4?,0,"The article presents factual, objective information about USTA rankings with neutral language, a straightforward explanation of how points are earned, and a balanced quote about competitive tennis without editorial framing or loaded language.",440,62
abqtimes--2022-11-14--Albuquerque tennis player Ben French ranks in Boys’ 16 bracket in week ending Nov. 5,abqtimes,Albuquerque tennis player Ben French ranks in Boys’ 16 bracket in week ending Nov. 5,0,"The article presents factual information about a player's tennis ranking with objective explanation of how USTA rankings work, includes a relevant expert quote about competitive youth sports, and contains no detectable editorial framing, loaded language, or bias toward any perspective.",456,71
rockfordsun--2022-03-07--Junior tennis: how many players from Cherry Valley are ranked by the USTA in the Boys’ 16 category i,rockfordsun,Junior tennis: how many players from Cherry Valley are ranked by the USTA in the Boys’ 16 category in week ending Feb. 25?,0,"The article presents factual information about junior tennis rankings with neutral language, provides context about how points are earned, and includes a relevant quote from an expert without editorial framing or selective presentation of facts.",435,60
eaglevalleytimes--2022-09-27--Comstock Mining Inc. (LODE:ASQ) in Virginia City sees -85.07% change by Sept. 26,eaglevalleytimes,Comstock Mining Inc. (LODE:ASQ) in Virginia City sees -85.07% change by Sept. 26,1,"The article presents factual data about Comstock Mining's stock performance but includes generic investment advice that shifts focus away from the company's significant decline, creating subtle editorial framing that downplays the negative news through diversionary commentary.",556,67
albusinessdaily--2022-10-04--Value of Birmingham-based Banks company ServisFirst Bancshares Inc. (SFBS:NYQ) fell 100% in Q3,albusinessdaily,Value of Birmingham-based Banks company ServisFirst Bancshares Inc. (SFBS:NYQ) fell 100% in Q3,1,"The article presents factual market data with neutral language overall, but the headline contains potentially misleading framing by emphasizing a 100% drop without clarifying this may refer to a specific share class or metric, and the inclusion of investment advice from a third party without adequate context or multiple expert perspectives introduces subtle editorial bias toward particular investment strategies.",660,89
downrivertoday--2021-08-21--Nicole Nasutovich earns 5.1% more in 2019 working as a public employee in Wayne County,downrivertoday,Nicole Nasutovich earns 5.1% more in 2019 working as a public employee in Wayne County,0,"The article presents factual information from a database without editorial commentary, loaded language, or selective framing—it simply reports salary data and its source objectively.",378,52
springfieldrecord--2022-04-24--How high did Longmeadow junior tennis player Avery Zheng rank in Boys' 14 doubles bracket in January,springfieldrecord,How high did Longmeadow junior tennis player Avery Zheng rank in Boys' 14 doubles bracket in January?,0,"The article presents factual information about Avery Zheng's tennis rankings with neutral language, includes relevant explanatory context about how points are earned, and features an objective expert quote without editorial framing or loaded language.",425,65
fingerlakestoday--2021-05-17--Inventories in paperboard container manufacturing industry climb 0.1 percent in February,fingerlakestoday,Inventories in paperboard container manufacturing industry climb 0.1 percent in February,0,"The article presents factual, statistical information from the U.S. Census Bureau with neutral language, no editorial framing, no loaded terminology, and no apparent advocacy for a particular viewpoint.",499,59
geneseenews--2022-04-19--ZIP Code 48473 saw four businesses licensed in January,geneseenews,ZIP Code 48473 saw four businesses licensed in January,0,"The article presents factual, straightforward reporting on business licensing data with neutral language, provides context about business types and state economic conditions through a relevant quote, and avoids loaded language or editorial framing.",422,61
mcleancountytimes--2022-09-22--How many points did Kruthi Sudhir from Bloomington win in Girls’ 18 singles USTA competitions by the,mcleancountytimes,How many points did Kruthi Sudhir from Bloomington win in Girls’ 18 singles USTA competitions by the week ending Sept. 9?,0,"The article presents factual information about a tennis player's ranking and points with neutral, objective language and no discernible editorial framing or bias toward any perspective.",457,53
cobusinessdaily--2021-08-29--141 people die from diseases of the heart in Colorado during week ending June 26,cobusinessdaily,141 people die from diseases of the heart in Colorado during week ending June 26,0,"The article presents factual data from CDC sources with neutral language, provides a straightforward breakdown of mortality statistics, and includes relevant contextual information about underreporting and vulnerability factors without editorial framing or loaded language.",498,63
