article_id,condition,prompt_id,run,source,title,school_type,state,bias_score,justification,hallucinate,input_tokens,output_tokens
2019-0238041,,,,thepoliticalinsider,Failed Candidate Stacey Abrams Defends Using Identity Politics: 'It's Exactly How We Won',,,4,"Strong bias with charged language ('Failed Candidate,' 'keeps insisting she somehow won,' 'funny how,' 'radical view'), selective facts omitting context, false equivalencies between Abrams' election integrity concerns and Trump's, and dismissive framing of her actual electoral organizing success in subsequent elections.",False,1459,99
2020-0600017,,,,palmerreport,Ted Cruz goes completely bonkers,,,4,"Strong bias with overt advocacy and inflammatory language: 'completely bonkers,' 'deranged,' 'weird creepy punchline,' 'creep,' 'whacked out cartoon villain,' and 'go back to whatever planet he came from' constitute personal attacks rather than analysis; selective presentation of Cruz's tweet without full context; characterization of his response as evidence of callousness without acknowledging potential satirical intent; omission of any substantive counterargument or defense of Cruz's position.",False,1343,141
2021-0365079,,,,investmentwatchblog,"Biden tax plan would cost top 1% extra $160k per year... STEP Act will tax farmers, small business owners hardest.",,,3,"Moderate bias shown through selective framing, inflammatory language (""THIS IS MY SHOCKED FACE""), and editorializing that characterizes the plan as paying back unions and hitting small business owners hardest, while omitting substantive counterarguments or context about the policy's actual scope and rationale.",False,1709,97
2020-0894830,,,,lifesitenews,A Biden presidency would be devastating for unborn children around the world,,,4,"Strong bias with overt advocacy, charged language ('unmitigated disaster,' 'brutal,' 'radical agenda'), selective presentation of facts, and one-sided framing that dismisses opposing views entirely while presenting speculative predictions as certainties.",False,1676,85
2019-0462574,,,,pamelagellerreport,House Impeachment Resolution Authorizes Fishing Expedition Probes that Go Far Beyond Ukraine,,,4,"Strong bias through charged language ('fishing expedition,' 'sham'), selective framing that emphasizes Democratic overreach while minimizing Ukraine allegations, one-sided presentation favoring Trump and Republicans, and omission of Democratic justifications for the broad probe scope.",False,1595,86
2022-0142034,,,,breitbart,Texas Land Commissioner Candidate Promises to Defund Schools Teaching 'Corrosive' Critical Race Theory,,,3,"Moderate bias shown through selective framing and charged language; phrases like 'race essentialist ideology,' 'radical left,' and 'hateful ideologies' present Avila's perspective as fact rather than opinion, while counterarguments from CRT supporters or school officials are entirely omitted.",False,1479,97
2022-0125450,,,,trendingpolitics,"VIDEO - Mike Lindell's Sends 10,000 MyPillows To Freedom Convoy In Canada",,,4,"Strong bias with charged language ('fake news industry', 'far left attacking'), selective framing that presents Lindell's claims without scrutiny, omission of context around election challenges, and inflammatory characterization of opposing views while presenting Lindell's narrative uncritically.",True,1692,90
2020-0615054,,,,wnd,"$1,000,000 in buried treasure hidden across state by jewelry store forced to close due to pandemic",,,1,"Nearly neutral reporting with minimal bias; the article presents Perri's treasure hunt business venture factually, though it uses slightly promotional language like 'tantalizing' and focuses primarily on the positive aspects of the story without exploring potential criticisms or skepticism.",False,1767,87
2021-0835795,,,,redstate,Ron DeSantis Just Made a Bold Move Against the Biden DOJ's Overreaching Parental 'Threats' Directive,,,3,"Moderate bias through selective framing and charged language ('troubling directive,' 'overreaching,' 'sicking the Feds') that favors DeSantis's position while omitting the DOJ's stated rationale for the memo or counterarguments from education officials and school boards who supported federal involvement.",False,1719,101
2022-0555221,,,,occupydemocrats,HARSH REBUKE: Liz Cheney slams Fox host blaming Capitol Police for Jan. 6,,,4,"Strong bias with charged language ('harsh rebuke,' 'shut down,' 'false narrative'), selective framing that presents only one perspective on disputed events, and inflammatory characterizations ('armed mob,' 'acts of treason and sedition') without presenting counterarguments or opposing viewpoints fairly.",False,1612,95
2019-0423313,,,,breitbart,Donald Trump: Investigate Adam Schiff for 'Fraud & Treason',,,4,"Strong bias through selective quotation of Trump's statements without counterargument, inflammatory language ('sinister,' 'lying & cheating like never before'), and framing that presents only Trump's perspective on the Schiff controversy without including Schiff's defense, context about the impeachment process, or factual analysis of the disputed call transcript.",False,1339,105
2021-0599554,,,,thegatewaypundit,Liz Cheney Attacks Trump's White House in Opening Statement For Jan. 6 Hearing (VIDEO),,,4,"Strong bias evident through charged language ('RINO,' 'ire'), selective facts omitting Cheney's actual investigative focus, unsubstantiated claims about FBI informants and Pelosi's responsibility presented as fact without evidence, and framing that dismisses the January 6 investigation while promoting alternative blame narratives.",False,1308,104
2021-0964856,,,,crooksandliars,Fox News Makes Excuses For Lara Logan,,,4,"Strong bias with charged language ('heinous,' 'toadie,' 'cover-up'), one-sided framing that dismisses opposing views, selective omission of context about Lara Logan's actual statements, and inflammatory characterizations without presenting the full scope of the debate.",False,1522,93
2022-0206009,,,,alternet,Barack Obama's Presidential Library approves release of thousands of UFO-related files,,,2,"Article uses sensationalized framing ('jackpot,' 'tantalizing, enigmatic') and emphasizes mysterious aspects of UFOs while presenting the FOIA disclosure as more significant than warranted; selectively omits that most UFO cases have mundane explanations until the final sentence, and relies heavily on Greenewald's characterization rather than independent verification of claims.",False,1697,114
2020-0627921,,,,veteranstoday,VT Science: Debunking explosive properties of Ammonium Nitrate,,,5,"Extreme bias with fabricated claims: article falsely asserts the Beirut explosion was a nuclear weapon attack, misrepresents basic chemistry (claiming ammonium nitrate cannot explode), uses inflammatory language ('nuclear terror attack'), and makes unverifiable accusations against unnamed parties; contains conspiracy rhetoric and deceptive framing throughout.",True,1730,104
2020-0990297,,,,globalresearch,Did the UK's Secret Libya Policy Contribute to the Manchester Terror Attack?,,,3,"Moderate bias with selective framing and omitted counterarguments; the article assumes a causal connection between UK Libya policy and the Manchester attack without presenting evidence or opposing perspectives, uses loaded language like 'establishment would rather avoid' and 'elephant in the room', and frames the inquiry as deliberately evasive without substantiation.",False,1676,102
2021-0289123,,,,welovetrump,"Facebook ""Fact Checks"" Woman Describing Her Own Symptoms from COVID-19 Vaccine Reaction - She Died One Week Later",,,4,"Strong bias with charged language ('scumbags,' 'maniacal,' 'experimental jabs,' 'poison'), misleading causal framing (implying vaccine caused death without evidence), selective fact presentation, and inflammatory rhetoric designed to promote vaccine distrust while omitting relevant medical context.",False,1641,95
2019-0083704,,,,redstate,The LGBT community has become its own worst enemy,,,4,"Strong bias demonstrated through charged language ('sickening promotion', 'petulant children', 'reactionary hate-mobs'), selective framing that dismisses LGBT activism as irrational, and one-sided presentation that omits legitimate perspectives on representation and inclusion issues.",False,1678,91
2018-0060849,,,,activistpost,US Citizens Fund UN Arms Trade Treaty Which Impacts US Gun Ownership,,,4,"Strong bias with overt advocacy, inflammatory language (comparing UN to Hitler, claiming 'mind control techniques'), unsubstantiated conspiracy claims (Agenda 21/2030 as global control scheme), selective facts about UN funding, and dismissal of opposing views; uses charged rhetoric like 'oligarchy,' 'Big Brother,' and 'total control' without balanced presentation of counterarguments.",True,1713,118
2018-0374132,,,,politicususa,Jewish Leaders Tell Trump He Is Not Welcome In Pittsburgh,,,2,Subtle bias shown through selective framing and emphasis: the article leads with and heavily emphasizes Jewish leaders' rejection of Trump while downplaying Trump's own statements and the complexity of the situation; word choices like 'blamed him for the massacre' and presenting the leaders' claims without sufficient counterbalance or Trump's defense of his rhetoric create a one-sided narrative.,False,1634,110
2020-0350660,,,,breitbart,House Democrats Forum: 'Extremists' Infiltrate Anti-Lockdown Protests to 'Terrorize',,,3,"Moderate bias: the article uses framing that presents one perspective (extremists infiltrating protests) as established fact through panelists' assertions without meaningfully presenting counterarguments or skepticism about these claims; language like 'baselessly accusing' dismisses protesters' concerns, and the article selectively emphasizes extremist connections while omitting context about legitimate civil liberties debates during lockdowns.",False,1658,116
2022-0856674,,,,thepoliticalinsider,MAGA Rep Matt Gaetz Torches 'McFailures' McConnell and McCarthy for Midterm Results,,,3,"Moderate bias shown through charged language ('flaccid performance,' 'McFailures'), selective emphasis on Gaetz's criticism while downplaying context, and framing that favors the MAGA perspective without adequately presenting counterarguments or broader context for the midterm results.",False,1702,94
2022-0284299,,,,investmentwatchblog,"Michael Pento: 30-50% Market Drop From Here, Ushering In The Worst Bear Market Of Our Lifetime",,,3,Moderate bias: The article presents Michael Pento's bearish market prediction as established fact ('will result in the worst bear market') without substantive counterarguments or alternative expert perspectives; framing emphasizes doom scenarios while omitting balanced analysis.,False,1438,85
2021-0505383,,,,trendingpolitics,BREAKING: U.S. Senate Deals Democrats' Elections Takeover Bill a Critical Blow in Evenly Split Vote,,,4,"Strong bias through charged language ('radical Democrat media,' 'extremist Biden agenda,' 'left-wing media has been egregiously lying'), selective framing that dismisses voting rights concerns as false advertising, cherry-picked statistics about voter ID possession without context, and intentional mischaracterization of the For the People Act's purposes.",False,1683,104
2018-0213578,,,,alternet,National Enquirer Had a Safe with a Treasure Trove of Dirt on Trump that It Kept Hidden During the C,,,2,"Subtle bias through selective framing and emphasis; the article emphasizes damaging information about Trump while relying heavily on anonymized sources and unverified claims about the safe's contents, with minimal counterargument or alternative perspective presented.",False,1501,82
2022-0489318,,,,bearingarms,New York Dems set to defy SCOTUS with new concealed carry laws,,,4,"Strong bias with charged language ('ram through,' 'legislative nightmare,' 'blatantly disregarding'), selective framing that portrays Democratic actions as hostile to Second Amendment rights, and dismissive treatment of gun control arguments without substantive counterarguments.",False,1666,87
2022-0640582,,,,lewrockwell,Cardiovascular Damage & Health,,,3,"Moderate bias: The article selectively presents peer-reviewed claims about supplements without acknowledging scientific debate or limitations, uses speculative framing about vaccine/COVID damage causation, and relies on anecdotal conversation with named doctors rather than rigorous evidence, while omitting counterarguments or critical analysis from mainstream medical organizations.",False,1666,100
2017-0008273,,,,dailykos,Feminists Must Not Shrink Away from the Arena of Ideas,,,2,Subtle bias through selective framing that favors open debate over what the author characterizes as restrictive feminist practices; the article dismisses 'safe spaces' and 'no platforming' as intellectually detrimental without engaging substantive counterarguments about why marginalized groups employ these strategies.,False,1665,96
2021-0914224,,,,pamelagellerreport,Fraudulent Biden Admin BARS Nicaraguan President And Other Govt Officials From U.S. Citing ELECTION FRAUD,,,4,"Strong bias evident through charged language ('Fraudulent Biden Admin', 'laughing in your face'), false equivalence between U.S. and Nicaragua elections, selective framing that uses factual information about Nicaragua while editorializing about Biden, and prominent self-promotional sections that undermine journalistic neutrality.",False,1716,98
2020-0003554,,,,thedcclothesline,"Soleimani's 28 yo Daughter is an AMERICAN Citizen, Threatens Death to American Soldiers",,,4,"Strong bias with misleading framing, unverified claims presented as fact (Zeinab Soleimani being an American citizen), cherry-picked quotes taken out of context, inflammatory language ('reign of terror'), and selective omission of context while making sweeping accusations about Obama granting citizenship to Iranians without evidence.",True,1766,103
2021-0446506,,,,newspunch,Calls Mount for 'Criminal Investigation' Into Dr. Fauci's Crimes,,,4,"Strong bias with charged language ('crimes,' 'dishonesty,' 'perjury'), selective framing presenting unproven allegations as established fact, heavy reliance on speculation and opinion from Tucker Carlson rather than verified reporting, and misleading characterization of email contents without providing full context or allowing for alternative explanations.",False,1720,102
2021-0150015,,,,bearingarms,Palmetto State Armory Goes Big With Latest Location,,,2,"Article contains factual reporting about PSA's expansion with specific details (69,000 sq ft, $2.65M acquisition, 20 firing lanes), but includes editorial commentary and opinion framing (e.g., 'as I suspect it will be,' suggestion to convert the Newseum, criticism of D.C. leadership) that subtly favors the gun company and Second Amendment advocacy over neutral reporting.",False,1732,122
2021-0665768,,,,wnd,Aftermath of an Afghanistan debacle,,,3,"Moderate bias: The article uses loaded language ('crashed and burned,' 'debacle,' 'cynics might say') and selectively emphasizes American failure while omitting counterarguments about the complexity of nation-building or Taliban military superiority; presents opinions as facts and relies on dramatic framing rather than balanced analysis of the Afghanistan withdrawal.",False,1746,105
2017-0021444,,,,conservativetribune,Seattle Mayor Just Got Hit With 4th Teen-Sex Accusation,,,4,"Strong bias with charged language ('firestorm,' 'ambush'), selective framing emphasizing accusers' criminal histories while dismissing their relevance, partisan attacks on 'liberals,' and the opening paragraph's editorializing about political consequences rather than neutral reporting of facts.",False,1658,91
2020-0833602,,,,globalresearch,"America's ""War on Terrorism,"" The Global Economic Crisis, Towards a World War III Scenario",,,4,"Strong bias with overt advocacy, inflammatory language ('web of deceit,' 'smokescreen,' 'military-intelligence ploy,' 'fabrication'), unfounded conspiracy claims about 9/11, and selective framing that dismisses mainstream perspectives without presenting counterarguments or evidence.",True,1706,95
2020-0945248,,,,pamelagellerreport,IT'S HAPPENING: Trump Team Begins Forensic Examination of Dominion Machines in Michigan,,,3,"Moderate bias shown through selective framing, inflammatory language ('army of white hats'), emphasis on allegations without adequate context, and characterization of election officials' explanations as suspect ('unexplained and so-called glitch') while omitting substantive counterarguments.",False,1738,90
2019-0190428,,,,pjmedia,"[WILFORD BRIMLEY VOICE] MR. TRUMP, ARE YOU THAT SMART? NEVER MIND, YOU AIN'T GONNA TELL ME THAT, AR...",,,4,"Strong bias demonstrated through selective presentation of facts, charged language ('complete rout,' 'it is to laugh'), unsupported speculation presented as fact ('appears to have been a setup'), omission of counterarguments, and one-sided advocacy for Trump while dismissing critics.",False,1692,91
2022-0624130,,,,climatedepot,The annual atmospheric CO2 variation: A new theory - 'Could we be wrong about the annual cycle of carbon dioxide in the atmosphere?',,,2,"Subtle bias through selective framing: the article presents an alternative scientific hypothesis as potentially revolutionary ('could change our understanding') without adequately contextualizing the mainstream scientific consensus on CO2 seasonal cycles, omits discussion of why the biological explanation is widely accepted, and emphasizes correlations without addressing causation or peer review status of the Oxford researchers' work.",False,1654,107
2018-0090816,,,,alternet,Here are 4 Ways the Data You Create While Using the Internet Can Actually Be Used to Discriminate Ag,,,1,"Article is nearly neutral with objective language discussing how big data can be used discriminatorily; uses concrete examples but word choice like 'rammed through' is absent, maintaining factual tone throughout despite advocacy-leaning topic selection.",False,1629,81
2019-0402190,,,,bipartisanreport,Trump Administration Hit With Legal News After Bullying NOAA,,,4,"Strong bias evident through charged language ('bullying,' 'fragile-ego'ed'), selective framing that presents Trump's actions negatively without counterargument, rhetorical questions that imply malfeasance ('How far are they willing to go'), and editorializing ('demonstrably false,' 'demonstrably wrong') that goes beyond neutral reporting.",False,1650,111
2022-0956137,,,,thegatewaypundit,SHOCKING: Philly FED Admits Biden's Bureau of Labor Statistics Overstated US Job Growth in 2022 by At Least 1.1 Million,,,4,"Strong bias with misleading framing: uses charged language ('SHOCKING,' 'overstated,' 'gamed and manipulated'), cherry-picks a Philadelphia Fed preliminary benchmark estimate as definitive proof of intentional BLS malfeasance, implies election-year conspiracy without evidence, omits that benchmark revisions are routine and often correct in both directions, and presents speculative interpretation as fact.",False,1748,117
2021-0398575,,,,breitbart,"Cheney: 'No Question' Another Attack Like Jan. 6 Or Worse, Can Occur Due to Election Fraud Claims",,,2,"The article presents a selective quotation from Liz Cheney with multiple redacted sections marked as copyright, creating an incomplete and potentially misleading representation of her full statements; while the core claim is verifiable (Cheney did appear on ABC's This Week), the heavy redactions prevent full context assessment and the framing emphasizes her warnings without balancing counterarguments about election security concerns.",False,1467,116
2021-0608985,,,,thebl,Biden asks federal workers to get vaccinated or face repeated COVID tests,,,1,"Nearly neutral reporting with minimal bias; factual presentation of Biden's policy announcement with balanced inclusion of both support (quotes from Biden, examples of vaccine mandates) and opposing views (Republican disagreement mentioned), though Republican counterarguments receive less detailed coverage than the policy itself.",False,1635,89
2021-0150626,,,,newspunch,Soros-Funded L.A. District Attorney Drops Death Penalty for 'Proud' Cop Killer,,,4,"Strong bias through inflammatory language ('Soros-Funded,' 'billionaire globalist,' 'whopping $1.5 million'), selective framing that emphasizes the defendant's statements while presenting the DA's decision negatively without substantive counterargument, and leading characterization of the DA's prosecutorial decision as wrongful without balanced legal context.",False,1643,109
2019-0468157,,,,pjmedia,"THE BONFIRE OF THE VANITY FAIR: Emo, Childish Beto Supporters Think He Got 'Punitive' Media Coverage...",,,4,"Strong bias evidenced by inflammatory language ('emo, childish'), dismissive framing of opposing views, selective quoting (with unexplained copyright symbols suggesting redaction), and charged editorializing that advocates against the subject while omitting substantive counterarguments.",False,1383,89
2021-0004329,,,,breitbart,Police: Rideshare Passenger Committed Suicide in Car on U. of Maryland Campus,,,2,"Article contains factual reporting on the incident but includes irrelevant tangential information (November shooting, unrelated Professor Blake quote about Electoral College) that disrupts coherence and suggests selective framing; some passages are garbled or incomplete, undermining clarity.",False,1321,86
2018-0179965,,,,politicususa,Mattis Says He Will Deploy US Military Forces to Protect 2018 Elections,,,3,"Moderate bias shown through charged language ('habitual liar,' 'dictatorial powers,' 'always lie'), selective framing that emphasizes Mattis's agreement with intelligence agencies while dismissing Trump's position, and the incomplete final sentence suggesting editorial cuts rather than substantive reporting.",False,1656,93
2018-0116541,,,,veteranstoday,ACTION ALERT Austrias top Jewish group tries to censor Black Panther leader,,,4,"Strong bias with overt advocacy, inflammatory language, and selective facts: uses dehumanizing terms like 'freedom-crushing culprits,' makes sweeping accusations about 'Zionists' controlling academia and 9/11 conspiracies, presents one-sided narrative defending the lecture series while dismissing opposing concerns, and calls for ejecting 'all Zionists' from academia.",False,1674,119
2019-0301339,,,,frontpagemagazine,Migrants Try to Buy Children to Illegally Enter U.S.,,,4,"Strong bias with charged language ('lefties,' 'weeping,' 'cash-grab'), selective framing that blames political opponents rather than presenting balanced analysis, dismissive tone toward critics ('as the media likes to call it'), and inflammatory editorial voice throughout that advocates rather than reports.",False,1693,93
2017-0045334,,,,politicususa,Watch A Cracking Up Trump Break Down And Repeat The Same Answer Over And Over On N. Korea,,,4,"Strong bias with overt advocacy and charged language: 'mentally unstable,' 'mentally ill lunatic,' 'deranged tweet threats,' 'crazed buffoon,' and 'mentally fragile man' are inflammatory personal attacks rather than objective reporting; selective framing emphasizing repetitive answers while omitting context; editorializing throughout with interpretations presented as fact ('sounded like,' 'painted himself into a corner').",False,1349,127
2017-0092816,,,,politicususa,Trump Shows No Sympathy And Insults The Widow Of A Green Beret Killed In Niger Ambush,,,4,"Strong bias with overt advocacy, charged language ('s**t happens' characterization, 'empty shell of a man'), and one-sided framing that dismisses Trump's statement as purely insulting while omitting any context or charitable interpretation; uses inflammatory descriptors ('incapable of empathy') presented as fact rather than opinion.",False,1340,104
2019-0154001,,,,politicususa,"As Carlson's Advertisers Are Targeted, He Refuses to Apologize",,,3,"Moderate bias shown through selective use of inflammatory quotes, charged language ('shocking,' 'demented'), and emphasis on Carlson's refusal to apologize while omitting his stated rationale or full context of his explanations; the article frames the narrative heavily against Carlson without balanced counterargument.",False,1701,98
2019-0391076,,,,newsbusters,Anti-Christian Media Slam Brees for Appearance in 'Anti-LGBT' Focus on the Family Video,,,4,"Strong bias with overt advocacy, charged language ('swarmed over Brees like angry bees,' 'smear,' 'anti-Christian media'), and selective framing that dismisses criticism of Focus on the Family while characterizing opposing viewpoints as unfounded 'lies' and 'libel,' with facts presented to favor one ideological perspective.",False,1716,110
2022-0821203,,,,iowaclimatescienceeducation,IEA World Energy Outlook 2022,,,3,"Moderate bias shown through selective framing, charged language ('ludicrously named', 'fairy tale'), dismissive treatment of APS scenario, and emphasis on failure of climate agreements while omitting counterarguments about the complexity of global climate policy coordination.",False,1438,87
2019-0247984,,,,russiainsider,Russian Central Bank Eyes Gold-Backed Crypto,,,2,"The article contains subtle bias through selective framing and emphasis that favors cryptocurrencies and the Bank of Russia's initiatives, while characterizing criticism as 'unmerited' and using charged language like 'a big shot in the arm for an industry.' Multiple copyright symbols obscure content, making full assessment difficult, but the visible portions show selective presentation favoring pro-crypto perspectives.",False,1661,113
2021-0864487,,,,thegatewaypundit,"UPDATE: 71 out of 75 Districts in Uttar Pradesh, India - Its Most Populated State - Reported No Covid-19 Cases in 24 Hours After Implementing Ivermectin Protocol",,,4,"Strong bias with selective facts and misleading framing: the article cherry-picks data about Uttar Pradesh's ivermectin use while omitting crucial context (vaccination rates, testing patterns, natural disease cycles), uses loaded language ('media won't mention'), makes unsupported causal claims linking ivermectin to case reductions, and presents rhetorical questions ('what could the United States be doing wrong?') that advocate a particular viewpoint rather than presenting balanced analysis.",False,1774,133
2022-0025640,,,,breitbart,VIDEO: Detroit DoorDash Driver Saves Toddler Roaming Streets in Frigid Temperatures,,,1,"Article is primarily factual and neutral in reporting a rescue incident, with minimal editorial framing; however, the selective placement of the rescue narrative and lack of critical context about parental supervision create a very subtle lean toward portraying the driver positively without deeper examination.",False,1606,87
2021-0747774,,,,thewashingtonstandard,Framing Narratives & Inducing Compliance Using Moral Foundations Theory,,,4,"Strong bias with charged language ('tyrannical dictates,' 'unconstitutional actions'), conspiratorial framing about elite manipulation, selective citation of sources to support predetermined conclusions about media deception, and dismissive characterization of public health measures without presenting counterarguments or evidence.",False,1646,92
2022-0512015,,,,thebl,"Wuxi Covid outbreak: Shopping for more than 2 hours, your ID card will be confiscated",,,3,"Moderate bias with selective framing and unverified claims presented as fact; the article emphasizes dramatic government overreach (ID card confiscation) without clearly distinguishing between official policy and disputed/denied claims, uses emotionally charged language like 'shocked the citizens,' and contains numerous redacted sections undermining transparency and verification.",False,1696,102
2018-0100882,,,,palmerreport,Kellyanne Conway resorts to bizarre antics at Donald Trumps fake celebration,,,4,"Strong bias with overt advocacy, dehumanizing language (calling Trump a 'racist traitor' and 'fake president'), intentional mischaracterization of facts (claiming no Eagles players took a knee when the article itself acknowledges this happened), and cherry-picked anecdotes presented as evidence of wrongdoing while omitting the actual context of the Eagles' participation decision.",True,1435,114
2022-0968391,,,,iowaclimatescienceeducation,'Saving the Dark' (Light pollution fanaticism),,,3,Moderate bias shown through selective framing that advocates for dark sky preservation while dismissing opposing viewpoints as 'fanaticism'; uses charged language like 'Deep Ecologists just don't like human beings' and presents one-sided arguments about light pollution without substantial counterarguments.,False,1693,93
2020-0003972,,,,thepoliticalinsider,Mitch McConnell is Moving Forward on Impeachment Whether Democrats Like It Or Not,,,4,"Strong bias through charged language ('damage,' 'flounder'), selective framing that favors McConnell's position, dismissive characterization of Democratic demands, and omission of substantive counterarguments or context for why Democrats might withhold articles.",False,1581,86
2017-0029680,,,,conservativetribune,Trump Gives Out Personal Cell Number to World Leaders,,,4,"Strong bias with overt advocacy language ('stuffed suits,' 'Liberals simply cannot stand,' 'media's hysteria'), selective framing that portrays Trump's action as routine while dismissing legitimate protocol concerns, and misleading comparisons to past presidents that omit crucial security context.",False,1639,94
2020-1009882,,,,breitbart,Exclusive - Sen. Kelly Loeffler: Church Camp's 'Disgusting' Child Abuse Allegation Should Disqualify Warnock,,,4,"Strong bias with selective framing, charged language ('disgusting,' 'should be disqualify'), and emphasis on allegations while omitting Warnock's explanations and the fact that no abuse reports were publicly confirmed; one-sided presentation of Loeffler's attack without substantive rebuttal.",False,1722,98
2022-0632438,,,,occupydemocrats,EMPTY POCKETS: Sen. Rick Scott faces tough questions about GOP Senate campaign finances,,,4,"Strong bias with charged language ('in hot water,' 'mysteriously missing,' 'getting crushed'), selective framing that emphasizes wasteful spending while omitting NRSC's explanations, and inflammatory characterization of Scott's agenda ('destroying Social Security and Medicare') presented as fact rather than political framing.",False,1681,100
2020-0175217,,,,sgtreport,Here's Why the Fed Hasn't Yet Invoked Its 13 (3) Emergency Powers to Stem a Stock Market Crash,,,4,"Strong bias through selective framing and charged language ('death spiral,' 'cheery news,' 'fairytales') presenting financial events with editorial commentary; the article emphasizes worst-case scenarios and uses sarcasm to favor a particular interpretive stance on Fed policy, while the title's premise about Section 13(3) powers is asserted without substantive analysis of why they haven't been invoked.",False,1835,119
2021-0093699,,,,petapeoplefortheethicaltreatmentofanimals,Urgent! Help Block the Confirmation of Tom Vilsack for Ag Secretary,,,4,"Strong bias with overt advocacy, charged language ('failed miserably,' 'turned a blind eye'), selective omission of Vilsack's accomplishments, and framing designed to motivate opposition rather than inform; specific claims about USDA enforcement failures lack detailed evidence or counterargument.",False,1348,96
