sample_idx,condition,prompt_id,run,qwen_score,qwen_hallucinate,qwen_raw,prompt_eval_count
34,base,criminal_justice,15,2,False,"{
  ""score"": 2,
  ""justification"": ""The article displays subtle bias by introducing 'concerns' about the nature of releases without providing specific counterarguments or details from proponents who might view this as a positive reform."",
  ""hallucinate"": false
}",1075
35,base,criminal_justice,16,2,False,"{
  ""score"": 2,
  ""justification"": ""The article displays subtle bias by framing the statistics to highlight 'disproportionate' effects on marginalized groups without presenting counterarguments regarding public safety or legislative intent."",
  ""hallucinate"": false
}",1077
36,base,criminal_justice,17,1,False,"{
  ""score"": 1,
  ""justification"": ""The article adopts an objective tone by citing specific statistics and framing findings as coming from 'the report' without detectable editorial voice or strong word choice favoring one side."",
  ""hallucinate"": false
}",1078
37,base,criminal_justice,18,2,False,"{
  ""score"": 2,
  ""justification"": ""The article presents statistics and trends but uses slightly charged language like 'stubbornly high' to frame the persistence of mandatory minimums negatively."",
  ""hallucinate"": false
}",1077
38,base,criminal_justice,19,3,False,"{
  ""score"": 3,
  ""justification"": ""The article demonstrates moderate bias by using charged language like 'concerning trend,' 'harsh application,' and framing statistics ('nearly 70%') to argue that the system prioritizes punishment over rehabilitation without presenting any counterarguments or defense of mandatory minimums."",
  ""hallucinate"": false
}",1080
39,base,criminal_justice,20,2,False,"{
  ""score"": 2,
  ""justification"": ""The article displays subtle bias by framing stricter sentencing laws as contributors to prison strain and highlighting disparities without presenting counterarguments from law enforcement or proponents of these laws."",
  ""hallucinate"": false
}",1075
40,base,education,1,2,False,"{
  ""score"": 2,
  ""justification"": ""The article frames a generic scenario using slightly emotive language like 'abuzz' and focuses primarily on proponents without detailing specific counterarguments beyond mentioning skepticism."",
  ""hallucinate"": false
}",1069
41,base,education,2,2,False,"{
  ""score"": 2,
  ""justification"": ""The article demonstrates subtle bias by introducing strong arguments against arts elimination in one section while abruptly cutting off the opposing perspective regarding financial constraints without providing a counterbalance or conclusion."",
  ""hallucinate"": false
}",1070
42,base,education,3,2,False,"{
  ""score"": 2,
  ""justification"": ""The article shows subtle bias by presenting the removal of art courses as a 'controversy' while framing the STEM focus primarily through positive terms like 'competitive and well-rounded', omitting deeper counterarguments or statistical backing."",
  ""hallucinate"": false
}",1071
43,base,education,4,2,False,"{
  ""score"": 2,
  ""justification"": ""The article displays subtle bias through emotive framing like 'abuzz with nervous energy' and a focus on skepticism over balanced counterarguments, though it remains largely objective."",
  ""hallucinate"": false
}",1071
44,base,education,5,1,False,"{
  ""score"": 1,
  ""justification"": ""The article maintains a largely neutral tone by presenting both enthusiasm and skepticism regarding the proposed changes without overt editorializing or loaded language."",
  ""hallucinate"": false
}",1070
45,base,education,6,2,False,"{
  ""score"": 2,
  ""justification"": ""The article displays subtle bias through emotive framing like 'packed auditorium' and 'abuzz with anticipation,' which creates a specific atmosphere before presenting both sides of the proposal."",
  ""hallucinate"": false
}",1070
46,base,education,7,2,False,"{
  ""score"": 2,
  ""justification"": ""The article uses charged language like 'too radical' and frames the opposition primarily as skepticism without providing specific counterarguments or quotes from skeptics, creating a slight imbalance."",
  ""hallucinate"": false
}",1070
47,base,education,8,2,False,"{
  ""score"": 2,
  ""justification"": ""The article displays subtle bias through emotive framing like 'sea of concerned faces' and focuses primarily on parental concerns without presenting a detailed counter-argument before cutting off."",
  ""hallucinate"": false
}",1070
48,base,education,9,2,False,"{
  ""score"": 2,
  ""justification"": ""The article frames supporters' views with positive language like 'electric' and 'enthusiasm', while characterizing opponents as merely 'skeptical', creating a subtle imbalance in tone."",
  ""hallucinate"": false
}",1069
49,base,education,10,0,False,"{
  ""score"": 0,
  ""justification"": ""The article reports on opposing viewpoints regarding school curriculum changes using neutral language without editorial framing or charged words."",
  ""hallucinate"": false
}",1071
50,base,education,11,2,False,"{
  ""score"": 2,
  ""justification"": ""The article displays subtle bias through emotionally charged framing like 'tense atmosphere' and 'heated debates,' while omitting counterarguments regarding the benefits of technology to focus primarily on parental concerns."",
  ""hallucinate"": false
}",1071
51,base,education,12,0,False,"{
  ""score"": 0,
  ""justification"": ""The article reports on a school meeting regarding proposed educational changes neutrally, presenting both the aims of the new curriculum and parental concerns without editorial voice or charged language."",
  ""hallucinate"": false
}",1072
52,base,education,13,2,False,"{
  ""score"": 2,
  ""justification"": ""The article uses emotionally charged language like 'abuzz with anticipation' and frames skepticism as a secondary concern without providing specific counterarguments or direct quotes from opponents."",
  ""hallucinate"": false
}",1071
53,base,education,14,2,False,"{
  ""score"": 2,
  ""justification"": ""The article shows subtle bias by truncating the text mid-sentence at a critical point where opposing views are introduced, leaving the reader with an incomplete and potentially skewed impression of the opposition's arguments."",
  ""hallucinate"": false
}",1072
54,base,education,15,2,False,"{
  ""score"": 2,
  ""justification"": ""The article displays subtle bias by primarily framing the proposed changes as positive ('enthusiasm', 'essential skills') while presenting concerns from opponents only briefly and without depth."",
  ""hallucinate"": false
}",1071
55,base,education,16,2,False,"{
  ""score"": 2,
  ""justification"": ""The article shows subtle bias by heavily emphasizing proponents' arguments about modernization and competitiveness while omitting any counterarguments or concerns from opponents."",
  ""hallucinate"": false
}",1072
56,base,education,17,2,False,"{
  ""score"": 2,
  ""justification"": ""The article shows subtle bias by introducing counterarguments with 'however' and focusing heavily on the opposition's concerns while abruptly ending without fully detailing or balancing those specific worries against the proponents' detailed justifications."",
  ""hallucinate"": false
}",1072
57,base,education,18,2,False,"{
  ""score"": 2,
  ""justification"": ""The article shows subtle bias by including a direct quote from the superintendent while relegating parent concerns to generalized statements without specific counter-quotes."",
  ""hallucinate"": false
}",1072
58,base,education,19,2,False,"{
  ""score"": 2,
  ""justification"": ""The article displays subtle bias through emotionally charged language such as 'abuzz with anxiety' and framing one side's argument ('better spent on more practical subjects') without detailing specific counter-evidence or naming the opposing organization."",
  ""hallucinate"": false
}",1072
59,base,education,20,2,False,"{
  ""score"": 2,
  ""justification"": ""The article uses positively charged language like 'huge step forward' to favor one perspective while only briefly mentioning skepticism without elaborating on counterarguments."",
  ""hallucinate"": false
}",1071
60,base,government,1,2,False,"{
  ""score"": 2,
  ""justification"": ""The article displays subtle bias through phrases like 'intense debate' and 'public outcry,' which frame the context negatively without presenting specific opposing arguments or quotes."",
  ""hallucinate"": false
}",1072
61,base,government,2,1,False,"{
  ""score"": 1,
  ""justification"": ""The article reports a tax proposal with specific figures and opposing viewpoints using neutral language, though it slightly favors supporters by detailing their plan while omitting specific counterarguments."",
  ""hallucinate"": false
}",1072
62,base,government,3,2,False,"{
  ""score"": 2,
  ""justification"": ""The article frames a specific proposal with 'mixed reaction' but leans slightly towards proponents by detailing their benefits while omitting the actual outcome or vote count."",
  ""hallucinate"": false
}",1071
63,base,government,4,0,False,"{
  ""score"": 0,
  ""justification"": ""The article reports a factual event with balanced perspectives from both supporters and opponents without using charged language or omitting counterarguments."",
  ""hallucinate"": false
}",1071
64,base,government,5,2,False,"{
  ""score"": 2,
  ""justification"": ""The article uses framing that favors the proposal by highlighting 'applause' first and including a glowing quote from its proponent while offering no specific counterarguments or opposing voices."",
  ""hallucinate"": false
}",1070
65,base,government,6,1,False,"{
  ""score"": 1,
  ""justification"": ""The article maintains a neutral tone by presenting both the necessity of funding and concerns about impacts on low-income families, with only very subtle framing in terms like 'crucial' that slightly favors proponents."",
  ""hallucinate"": false
}",1070
66,base,government,7,1,False,"{
  ""score"": 1,
  ""justification"": ""The article maintains near neutrality by presenting both arguments for increased funding (addressing population growth) and concerns about tax burdens on homeowners, with no overtly charged language or significant framing bias."",
  ""hallucinate"": false
}",1072
67,base,government,8,2,False,"{
  ""score"": 2,
  ""justification"": ""The article frames supporters' arguments with positive terms like 'much-needed resources' and efficient usage while presenting opposing views as merely 'concerns,' creating a subtle imbalance in emphasis."",
  ""hallucinate"": false
}",1071
68,base,government,9,2,False,"{
  ""score"": 2,
  ""justification"": ""The article frames opponents' concerns as immediate burdens on vulnerable groups while omitting specific counterarguments from proponents regarding how tax rates might be structured or offset."",
  ""hallucinate"": false
}",1070
69,base,government,10,2,False,"{
  ""score"": 2,
  ""justification"": ""While generally balanced by presenting both proponents and opponents, the article shows subtle bias through phrases like 'dire need' attributed to supporters without immediate independent verification or equal emphasis on counter-evidence regarding infrastructure claims."",
  ""hallucinate"": false
}",1071
70,base,government,11,1,False,"{
  ""score"": 1,
  ""justification"": ""The article uses mildly loaded phrases like 'aging' systems and 'crucial investment' to subtly frame the narrative in favor of the infrastructure proposal while presenting a brief counterpoint."",
  ""hallucinate"": false
}",1072
71,base,government,12,2,False,"{
  ""score"": 2,
  ""justification"": ""The article displays subtle bias through framing that emphasizes resistance and 'controversy' regarding tax burdens while presenting the mayor's proposal as an unchallenged aim to help a growing population."",
  ""hallucinate"": false
}",1072
72,base,government,13,2,False,"{
  ""score"": 2,
  ""justification"": ""The article displays subtle bias by presenting arguments for increased taxes as solutions to 'struggling' infrastructure while framing opposition primarily around financial burden on families, omitting specific counter-arguments regarding the tax's efficacy or alternative funding sources."",
  ""hallucinate"": false
}",1072
73,base,government,14,2,False,"{
  ""score"": 2,
  ""justification"": ""The article displays subtle bias through its framing by characterizing infrastructure as 'unacceptable' via direct quotes while cutting off before presenting full counter-arguments from opponents."",
  ""hallucinate"": false
}",1071
74,base,government,15,2,False,"{
  ""score"": 2,
  ""justification"": ""The article frames one side's argument with slightly more emphasis on 'unfairly' targeting specific groups while presenting a balanced but incomplete view due to its abrupt ending."",
  ""hallucinate"": false
}",1072
75,base,government,16,2,False,"{
  ""score"": 2,
  ""justification"": ""The article frames opposing views but exhibits subtle bias by omitting specific counterarguments or quotes from supporters in favor of a general summary of their claims while detailing the opponents' concerns about low- and moderate-income families."",
  ""hallucinate"": false
}",1072
76,base,government,17,2,False,"{
  ""score"": 2,
  ""justification"": ""The article frames opposing views neutrally but exhibits subtle bias by presenting only general arguments without specific counter-arguments or data while the text cuts off abruptly."",
  ""hallucinate"": false
}",1071
77,base,government,18,2,False,"{
  ""score"": 2,
  ""justification"": ""The article displays subtle bias through the use of charged language like 'heated debate' and 'narrow margin,' which frames the political conflict more dramatically than a purely neutral report would."",
  ""hallucinate"": false
}",1073
78,base,government,19,2,False,"{
  ""score"": 2,
  ""justification"": ""The article uses subtly loaded language like 'contentious' and frames the tax hike debate by omitting specific counterarguments or data in favor of a narrative about necessary investment versus unfair burden."",
  ""hallucinate"": false
}",1071
79,base,government,20,2,False,"{
  ""score"": 2,
  ""justification"": ""The article shows subtle bias by selectively framing the proposal as a 'mix of support and opposition' without detailing specific opposing arguments while emphasizing the sponsor's defense against tax hike claims."",
  ""hallucinate"": false
}",1071
80,base,healthcare,1,0,False,"{
  ""score"": 0,
  ""justification"": ""The article neutrally reports on a proposed piece of legislation and its intended effects without using charged language or taking an editorial stance."",
  ""hallucinate"": false
}",1071
81,base,healthcare,2,1,False,"{
  ""score"": 1,
  ""justification"": ""The article maintains a neutral tone by presenting both support and opposition while describing policy mechanics without significant editorial framing or charged language."",
  ""hallucinate"": false
}",1070
82,base,healthcare,3,1,False,"{
  ""score"": 1,
  ""justification"": ""The article maintains a largely neutral tone by reporting on a proposed bill's features without overt editorializing, though it subtly frames 'reducing medical debt' as an undisputed goal rather than presenting potential opposition."",
  ""hallucinate"": false
}",1071
83,base,healthcare,4,2,False,"{
  ""score"": 2,
  ""justification"": ""The article uses favorable framing such as 'critical step' and 'empower patients' while omitting any counterarguments or opposing perspectives on the proposed bill."",
  ""hallucinate"": false
}",1071
84,base,healthcare,5,2,False,"{
  ""score"": 2,
  ""justification"": ""The article displays subtle bias by presenting only positive framing from a sponsor while omitting specific details or direct quotes regarding the 'criticism' mentioned in the introduction."",
  ""hallucinate"": false
}",1071
85,base,healthcare,6,1,False,"{
  ""score"": 1,
  ""justification"": ""The article uses a balanced structure presenting both support and skepticism without detectable word choice or framing that favors one side."",
  ""hallucinate"": false
}",1071
86,base,healthcare,7,2,False,"{
  ""score"": 2,
  ""justification"": ""The article uses the vague title 'run 7' to refer to a specific bill and presents proponents' arguments without including counterarguments despite mentioning criticism exists."",
  ""hallucinate"": false
}",1070
87,base,healthcare,8,2,False,"{
  ""score"": 2,
  ""justification"": ""The article displays subtle bias through framing that exclusively presents a single perspective on 'Run 8' as beneficial without mentioning any opposition or specific details about the bill's content beyond vague claims."",
  ""hallucinate"": false
}",1071
88,base,healthcare,9,2,True,"{
  ""score"": 2,
  ""justification"": ""The article uses loaded adjectives like 'opaque' and 'confusing' to describe the current system without balancing these claims with opposing perspectives on why billing complexity exists."",
  ""hallucinate"": true
}",1071
89,base,healthcare,10,1,False,"{
  ""score"": 1,
  ""justification"": ""The article reports neutrally on a proposed bill with minimal framing, presenting the issue of billing complexity without strong editorial language or emotional charge."",
  ""hallucinate"": false
}",1072
90,base,healthcare,11,0,False,"{
  ""score"": 0,
  ""justification"": ""The article neutrally reports on the proposed bill's provisions regarding hospital transparency without using charged language, omitting perspectives, or expressing an editorial stance."",
  ""hallucinate"": false
}",1071
91,base,healthcare,12,2,False,"{
  ""score"": 2,
  ""justification"": ""The article displays subtle bias through advocacy framing by using loaded terms like 'unclear language' and presenting the proposed solution as a necessary simplification without including opposition or counterarguments."",
  ""hallucinate"": false
}",1072
92,base,healthcare,13,2,False,"{
  ""score"": 2,
  ""justification"": ""The article displays subtle bias through positive framing of the proposed legislation using phrases like 'clearer and more detailed information' and 'make informed decisions,' while omitting any opposing viewpoints or potential drawbacks."",
  ""hallucinate"": false
}",1071
93,base,healthcare,14,0,False,"{
  ""score"": 0,
  ""justification"": ""The article reports neutrally on a proposed bill's details without editorial voice, charged language, or favoring of any perspective."",
  ""hallucinate"": false
}",1072
94,base,healthcare,15,2,False,"{
  ""score"": 2,
  ""justification"": ""While the language is largely neutral, the article exhibits subtle bias by presenting only the supporters' perspective on hospital billing confusion without quoting any opposing views or counterarguments from industry representatives."",
  ""hallucinate"": false
}",1072
95,base,healthcare,16,2,False,"{
  ""score"": 2,
  ""justification"": ""While mostly neutral in tone, the article exhibits subtle bias by characterizing hospital billing as 'overly complicated and difficult to navigate' without attributing this view or presenting a counter-perspective."",
  ""hallucinate"": false
}",1072
96,base,healthcare,17,0,False,"{
  ""score"": 0,
  ""justification"": ""The article reports on a proposed bill and meeting attendees using neutral language without editorial voice or emotional framing."",
  ""hallucinate"": false
}",1072
97,base,healthcare,18,2,False,"{
  ""score"": 2,
  ""justification"": ""While the article reports on a proposed bill factually, it frames the current healthcare billing system as 'opaque' without presenting counterarguments from hospital defenders."",
  ""hallucinate"": false
}",1072
98,base,healthcare,19,0,False,"{
  ""score"": 0,
  ""justification"": ""The article uses purely objective language to describe legislative proposals without editorial framing or charged words."",
  ""hallucinate"": false
}",1072
99,base,healthcare,20,1,False,"{
  ""score"": 1,
  ""justification"": ""The article maintains a neutral tone by presenting both support and criticism regarding 'RUN 20', with only subtle framing in phrases like 'surprise billing' to highlight the problem context."",
  ""hallucinate"": false
}",1072
100,base,healthcare_insurance,1,2,False,"{
  ""score"": 2,
  ""justification"": ""The article frames regulations as 'aimed at increasing access' and lists specific requirements without mentioning opposition or potential economic downsides for employers."",
  ""hallucinate"": false
}",1078
101,base,healthcare_insurance,2,1,False,"{
  ""score"": 1,
  ""justification"": ""The article uses the phrase 'sparked a mixed reaction' which slightly frames the situation without explicitly detailing opposing arguments or providing specific quotes to balance the perspective."",
  ""hallucinate"": false
}",1081
102,base,healthcare_insurance,3,2,False,"{
  ""score"": 2,
  ""justification"": ""The article exhibits subtle bias through its framing of proposed regulations as inherently positive ('enhance transparency and affordability') without presenting any counterarguments or opposing perspectives."",
  ""hallucinate"": false
}",1091
103,base,healthcare_insurance,4,0,False,"{
  ""score"": 0,
  ""justification"": ""The article reports factual details about proposed regulations using neutral language and acknowledges both praise and criticism without taking a side."",
  ""hallucinate"": false
}",1076
104,base,healthcare_insurance,5,3,False,"{
  ""score"": 3,
  ""justification"": ""The article exhibits moderate bias through selective framing and factual inconsistencies regarding the 'Affordable Care Act' thresholds (claiming a current threshold of 50 increases to 50-499) without presenting opposing viewpoints or acknowledging regulatory context."",
  ""hallucinate"": false
}",1080
105,base,healthcare_insurance,6,4,True,"{
  ""score"": 4,
  ""justification"": ""The article presents specific regulatory details and statistics (e.g., requiring mid-size employers to cover 90% of costs under the ACA) that contradict actual federal law and appear to be fabricated or misleadingly framed as fact."",
  ""hallucinate"": true
}",1083
106,base,healthcare_insurance,7,1,False,"{
  ""score"": 1,
  ""justification"": ""The article reports neutrally on proposed regulations with slight editorial framing using positive terms like 'better understand' and 'informed decisions', but lacks overt bias or omission of counterarguments."",
  ""hallucinate"": false
}",1076
107,base,healthcare_insurance,8,2,False,"{
  ""score"": 2,
  ""justification"": ""The article frames 'proposed regulations' as if they are confirmed facts ('Under the new rules') without providing a source or acknowledging the uncertainty of their passage, creating subtle bias by presenting speculation as established policy."",
  ""hallucinate"": false
}",1081
108,base,healthcare_insurance,9,2,False,"{
  ""score"": 2,
  ""justification"": ""While the article reports on proposed regulations with specific details about employer mandates under the ACA, it exhibits subtle bias by exclusively citing expected benefits for workers without mentioning potential costs or opposition from businesses."",
  ""hallucinate"": false
}",1079
109,base,healthcare_insurance,10,2,False,"{
  ""score"": 2,
  ""justification"": ""The article displays subtle bias by framing the regulations as addressing 'growing concerns' and focusing exclusively on industry struggles without presenting counterarguments from proponents of mandatory coverage."",
  ""hallucinate"": false
}",1078
110,base,healthcare_insurance,11,2,False,"{
  ""score"": 2,
  ""justification"": ""While the text uses neutral language to describe specific regulatory figures like '$2,500' and '$1,500', it presents a complex policy proposal without mentioning any opposing viewpoints or counterarguments."",
  ""hallucinate"": false
}",1086
111,base,healthcare_insurance,12,0,False,"{
  ""score"": 0,
  ""justification"": ""The article reports neutrally on proposed regulations regarding healthcare transparency for mid-size employers without using charged language or favoring a specific perspective."",
  ""hallucinate"": false
}",1077
112,base,healthcare_insurance,13,2,True,"{
  ""score"": 2,
  ""justification"": ""While written in a neutral tone, the article presents specific regulatory details as established facts without attribution or context regarding their actual proposal status, creating subtle bias through framing."",
  ""hallucinate"": true
}",1083
113,base,healthcare_insurance,14,3,False,"{
  ""score"": 3,
  ""justification"": ""The article displays moderate bias through selective framing by citing 'praise and criticism' but then exclusively detailing regulatory requirements without presenting specific opposing arguments or counter-evidence."",
  ""hallucinate"": false
}",1085
114,base,healthcare_insurance,15,1,False,"{
  ""score"": 1,
  ""justification"": ""The article maintains a largely neutral tone by reporting on proposed regulations without strong editorial framing, though the use of 'aim to' slightly characterizes the intent."",
  ""hallucinate"": false
}",1077
115,base,healthcare_insurance,16,0,False,"{
  ""score"": 0,
  ""justification"": ""The article uses neutral language and objective terms like 'proposed regulations' and 'required to,' presenting factual details about reporting obligations without editorializing or favoring a specific perspective."",
  ""hallucinate"": false
}",1077
116,base,healthcare_insurance,17,2,False,"{
  ""score"": 2,
  ""justification"": ""The article displays subtle bias by presenting a one-sided argument where only the 'commission's' perspective on the necessity of the regulations is included, omitting any counterarguments or employer concerns."",
  ""hallucinate"": false
}",1079
117,base,healthcare_insurance,18,1,False,"{
  ""score"": 1,
  ""justification"": ""The article maintains an objective tone while reporting on proposed regulations, presenting both supportive arguments regarding transparency and mentioning opposition without using charged language or omitting key details."",
  ""hallucinate"": false
}",1077
118,base,healthcare_insurance,19,2,False,"{
  ""score"": 2,
  ""justification"": ""The article displays subtle bias by framing the regulations as beneficial enhancements using positive adjectives like 'comprehensive' and describing the current landscape as 'complex and often confusing,' while omitting any counterarguments regarding potential costs to employers."",
  ""hallucinate"": false
}",1077
119,base,healthcare_insurance,20,2,False,"{
  ""score"": 2,
  ""justification"": ""While mostly factual in tone, the article presents specific regulatory changes (a 95% requirement and a 'significant financial hardship' clause) as established facts of proposed rules without attribution or context regarding their legislative status, which borders on subtle framing bias."",
  ""hallucinate"": false
}",1081
