Title,Page ID,URL,State,School Type,Direct Parent Category
"Ben C. Rain High School",73112900,"https://en.wikipedia.org/wiki/Ben_C._Rain_High_School","Alabama","unknown","High schools in Mobile, Alabama"
"Benjamin Russell High School",81727379,"https://en.wikipedia.org/wiki/Benjamin_Russell_High_School","Alabama","public","Public high schools in Alabama"
"Berry High School",13639896,"https://en.wikipedia.org/wiki/Berry_High_School","Alabama","public","Public high schools in Alabama"
"Bessemer City High School (Alabama)",48275188,"https://en.wikipedia.org/wiki/Bessemer_City_High_School_(Alabama)","Alabama","public","Public high schools in Alabama"
"Bessemer City Schools",38579796,"https://en.wikipedia.org/wiki/Bessemer_City_Schools","Alabama","unknown","Alabama school stubs"
"Bibb County High School",37896633,"https://en.wikipedia.org/wiki/Bibb_County_High_School","Alabama","public","Public high schools in Alabama"
"Bibb County School District (Alabama)",38579804,"https://en.wikipedia.org/wiki/Bibb_County_School_District_(Alabama)","Alabama","unknown","Alabama school stubs"
"Billingsley High School",5437585,"https://en.wikipedia.org/wiki/Billingsley_High_School","Alabama","public","Public K–12 schools in Alabama"
"Blount County School District",38579808,"https://en.wikipedia.org/wiki/Blount_County_School_District","Alabama","unknown","Alabama school stubs"
"Boaz City School District",38579822,"https://en.wikipedia.org/wiki/Boaz_City_School_District","Alabama","unknown","Alabama school stubs"
"Bob Jones High School",6725919,"https://en.wikipedia.org/wiki/Bob_Jones_High_School","Alabama","public","Public high schools in Alabama"
"Booker T. Washington High School (Tuskegee, Alabama)",68307358,"https://en.wikipedia.org/wiki/Booker_T._Washington_High_School_(Tuskegee,_Alabama)","Alabama","public","Public high schools in Alabama"
"Booker T. Washington Magnet High School",62623717,"https://en.wikipedia.org/wiki/Booker_T._Washington_Magnet_High_School","Alabama","unknown","Magnet schools in Alabama"
"Booker T. Washington School (Montgomery, Alabama)",70243353,"https://en.wikipedia.org/wiki/Booker_T._Washington_School_(Montgomery,_Alabama)","Alabama","unknown","Historically segregated African-American schools in Alabama"
"Bradshaw High School",70394067,"https://en.wikipedia.org/wiki/Bradshaw_High_School","Alabama","public","Public high schools in Alabama"
"Brewbaker Technology Magnet High School",24963145,"https://en.wikipedia.org/wiki/Brewbaker_Technology_Magnet_High_School","Alabama","unknown","High schools in Montgomery, Alabama"
"Brewton City Schools",38579824,"https://en.wikipedia.org/wiki/Brewton_City_Schools","Alabama","unknown","Alabama school stubs"
"Briarwood Christian School",21348507,"https://en.wikipedia.org/wiki/Briarwood_Christian_School","Alabama","unknown","High schools in Birmingham, Alabama"
"Brooks High School (Alabama)",16794699,"https://en.wikipedia.org/wiki/Brooks_High_School_(Alabama)","Alabama","public","Public high schools in Alabama"
"Brookwood High School (Alabama)",27810638,"https://en.wikipedia.org/wiki/Brookwood_High_School_(Alabama)","Alabama","public","Public high schools in Alabama"
"Buckhorn High School",10735667,"https://en.wikipedia.org/wiki/Buckhorn_High_School","Alabama","public","Public high schools in Alabama"
"Bullock County High School",66239280,"https://en.wikipedia.org/wiki/Bullock_County_High_School","Alabama","public","Public high schools in Alabama"
"Bullock County School District",38579862,"https://en.wikipedia.org/wiki/Bullock_County_School_District","Alabama","unknown","Alabama school stubs"
"Burrell Normal School",74928403,"https://en.wikipedia.org/wiki/Burrell_Normal_School","Alabama","unknown","Historically segregated African-American schools in Alabama"
"Butler County Schools",38579868,"https://en.wikipedia.org/wiki/Butler_County_Schools","Alabama","unknown","Alabama school stubs"
"Caldwell School",38920745,"https://en.wikipedia.org/wiki/Caldwell_School","Alabama","unknown","School buildings on the National Register of Historic Places in Alabama"
"Calera High School",4680156,"https://en.wikipedia.org/wiki/Calera_High_School","Alabama","public","Public high schools in Alabama"
"Calhoun Colored School",13708677,"https://en.wikipedia.org/wiki/Calhoun_Colored_School","Alabama","unknown","School buildings on the National Register of Historic Places in Alabama"
"Calhoun County Schools (Alabama)",38579872,"https://en.wikipedia.org/wiki/Calhoun_County_Schools_(Alabama)","Alabama","unknown","Alabama school stubs"
"Carbon Hill High School",10706749,"https://en.wikipedia.org/wiki/Carbon_Hill_High_School","Alabama","public","Public high schools in Alabama"
"Carroll High School (Alabama)",17687493,"https://en.wikipedia.org/wiki/Carroll_High_School_(Alabama)","Alabama","public","Public high schools in Alabama"
"Center Point High School",30696515,"https://en.wikipedia.org/wiki/Center_Point_High_School","Alabama","unknown","High schools in Birmingham, Alabama"
"Central High School (Hayneville, Alabama)",67292324,"https://en.wikipedia.org/wiki/Central_High_School_(Hayneville,_Alabama)","Alabama","public","Public high schools in Alabama"
"Central High School (Phenix City, Alabama)",72830934,"https://en.wikipedia.org/wiki/Central_High_School_(Phenix_City,_Alabama)","Alabama","unknown","High schools in Alabama"
"Central High School (Tuscaloosa, Alabama)",12404736,"https://en.wikipedia.org/wiki/Central_High_School_(Tuscaloosa,_Alabama)","Alabama","public","Public high schools in Alabama"
"Central High School of Clay County",40883862,"https://en.wikipedia.org/wiki/Central_High_School_of_Clay_County","Alabama","public","Public high schools in Alabama"
"Chambers County School District",38579875,"https://en.wikipedia.org/wiki/Chambers_County_School_District","Alabama","unknown","Alabama school stubs"
"Charles Henderson High School",11946336,"https://en.wikipedia.org/wiki/Charles_Henderson_High_School","Alabama","public","Public high schools in Alabama"
"Chelsea High School (Alabama)",8390636,"https://en.wikipedia.org/wiki/Chelsea_High_School_(Alabama)","Alabama","public","Public high schools in Alabama"
"Cherokee County Schools (Alabama)",36211301,"https://en.wikipedia.org/wiki/Cherokee_County_Schools_(Alabama)","Alabama","unknown","Alabama school stubs"
"Cherokee High School (Alabama)",11593916,"https://en.wikipedia.org/wiki/Cherokee_High_School_(Alabama)","Alabama","public","Public high schools in Alabama"
"Cherokee Middle School",12202940,"https://en.wikipedia.org/wiki/Cherokee_Middle_School","Alabama","unknown","Defunct schools in Alabama"
"Chickasaw City Schools",37668020,"https://en.wikipedia.org/wiki/Chickasaw_City_Schools","Alabama","unknown","Alabama school stubs"
"Chilton County High School",3022039,"https://en.wikipedia.org/wiki/Chilton_County_High_School","Alabama","public","Public high schools in Alabama"
"Chilton County School District",38579878,"https://en.wikipedia.org/wiki/Chilton_County_School_District","Alabama","unknown","Alabama school stubs"
"Citronelle High School",51193004,"https://en.wikipedia.org/wiki/Citronelle_High_School","Alabama","public","High schools in Mobile County, Alabama"
"Clarke County High School (Alabama)",22319759,"https://en.wikipedia.org/wiki/Clarke_County_High_School_(Alabama)","Alabama","public","Public high schools in Alabama"
"Clarke County Schools",38579883,"https://en.wikipedia.org/wiki/Clarke_County_Schools","Alabama","unknown","Alabama school stubs"
"Clarke Preparatory School",56298606,"https://en.wikipedia.org/wiki/Clarke_Preparatory_School","Alabama","private","Private K–12 schools in Alabama"
"Clay County School District (Alabama)",38579889,"https://en.wikipedia.org/wiki/Clay_County_School_District_(Alabama)","Alabama","unknown","Alabama school stubs"
"Clay-Chalkville High School",6696194,"https://en.wikipedia.org/wiki/Clay-Chalkville_High_School","Alabama","public","Public high schools in Alabama"
"Cleburne County High School",61933445,"https://en.wikipedia.org/wiki/Cleburne_County_High_School","Alabama","public","Public high schools in Alabama"
"Cleburne County School District",38579905,"https://en.wikipedia.org/wiki/Cleburne_County_School_District","Alabama","unknown","Alabama school stubs"
"Coffee High School (Alabama)",44079392,"https://en.wikipedia.org/wiki/Coffee_High_School_(Alabama)","Alabama","public","Public high schools in Alabama"
"Colbert County Schools",11925825,"https://en.wikipedia.org/wiki/Colbert_County_Schools","Alabama","unknown","Alabama school stubs"
"Cold Springs High School",10692862,"https://en.wikipedia.org/wiki/Cold_Springs_High_School","Alabama","public","Public high schools in Alabama"
"Conecuh County School District",38579946,"https://en.wikipedia.org/wiki/Conecuh_County_School_District","Alabama","unknown","Alabama school stubs"
"Coosa County School District",38579953,"https://en.wikipedia.org/wiki/Coosa_County_School_District","Alabama","unknown","Alabama school stubs"
"Corner High School",48072599,"https://en.wikipedia.org/wiki/Corner_High_School","Alabama","public","Public high schools in Alabama"
"Crenshaw County School District",38579963,"https://en.wikipedia.org/wiki/Crenshaw_County_School_District","Alabama","unknown","Alabama school stubs"
"Cullman County Schools",10693512,"https://en.wikipedia.org/wiki/Cullman_County_Schools","Alabama","unknown","Alabama school stubs"
"Cullman High School",8639368,"https://en.wikipedia.org/wiki/Cullman_High_School","Alabama","public","Public high schools in Alabama"
"Curry High School",10692948,"https://en.wikipedia.org/wiki/Curry_High_School","Alabama","public","Public high schools in Alabama"
"Dale County School District",38579976,"https://en.wikipedia.org/wiki/Dale_County_School_District","Alabama","unknown","Alabama school stubs"
"Daleville City School District",38579980,"https://en.wikipedia.org/wiki/Daleville_City_School_District","Alabama","unknown","Alabama school stubs"
"Dallas County High School",40856872,"https://en.wikipedia.org/wiki/Dallas_County_High_School","Alabama","public","Public high schools in Alabama"
"Danville High School (Alabama)",38501587,"https://en.wikipedia.org/wiki/Danville_High_School_(Alabama)","Alabama","public","Public high schools in Alabama"
"Daphne High School",5630170,"https://en.wikipedia.org/wiki/Daphne_High_School","Alabama","public","Public high schools in Alabama"
"Dauphin Island School",74324197,"https://en.wikipedia.org/wiki/Dauphin_Island_School","Alabama","unknown","School buildings on the National Register of Historic Places in Alabama"
"Davidson High School (Mobile, Alabama)",11276305,"https://en.wikipedia.org/wiki/Davidson_High_School_(Mobile,_Alabama)","Alabama","unknown","High schools in Mobile, Alabama"
"DeKalb County Schools (Alabama)",11938010,"https://en.wikipedia.org/wiki/DeKalb_County_Schools_(Alabama)","Alabama","unknown","Alabama school stubs"
"Decatur High School (Alabama)",4234242,"https://en.wikipedia.org/wiki/Decatur_High_School_(Alabama)","Alabama","public","Public high schools in Alabama"
"Decatur Negro High School",62468063,"https://en.wikipedia.org/wiki/Decatur_Negro_High_School","Alabama","public","Public high schools in Alabama"
"Demopolis City School District",38579982,"https://en.wikipedia.org/wiki/Demopolis_City_School_District","Alabama","unknown","Alabama school stubs"
"Demopolis Public School",19635820,"https://en.wikipedia.org/wiki/Demopolis_Public_School","Alabama","unknown","School buildings on the National Register of Historic Places in Alabama"
"Deshler High School (Alabama)",31304143,"https://en.wikipedia.org/wiki/Deshler_High_School_(Alabama)","Alabama","public","Public high schools in Alabama"
"Dothan City Schools",38579986,"https://en.wikipedia.org/wiki/Dothan_City_Schools","Alabama","unknown","Alabama school stubs"
"Dothan High School (Dothan, Alabama)",3371597,"https://en.wikipedia.org/wiki/Dothan_High_School_(Dothan,_Alabama)","Alabama","public","Public high schools in Alabama"
"Douglas High School (Alabama)",22952588,"https://en.wikipedia.org/wiki/Douglas_High_School_(Alabama)","Alabama","public","Public high schools in Alabama"
"Downing Industrial School",64375713,"https://en.wikipedia.org/wiki/Downing_Industrial_School","Alabama","unknown","Alabama school stubs"
"Dr. Percy L. Julian High School",18786974,"https://en.wikipedia.org/wiki/Dr._Percy_L._Julian_High_School","Alabama","unknown","High schools in Montgomery, Alabama"
"Druid High School",58055000,"https://en.wikipedia.org/wiki/Druid_High_School","Alabama","public","Public high schools in Alabama"
"Dunbar High School (Bessemer, Alabama)",51391930,"https://en.wikipedia.org/wiki/Dunbar_High_School_(Bessemer,_Alabama)","Alabama","public","Public high schools in Alabama"
"E.B. Erwin Middle School",24630790,"https://en.wikipedia.org/wiki/E.B._Erwin_Middle_School","Alabama","unknown","Defunct schools in Alabama"
"Eleventh Street School",43556648,"https://en.wikipedia.org/wiki/Eleventh_Street_School","Alabama","unknown","School buildings on the National Register of Historic Places in Alabama"
"Elkmont High School",79435385,"https://en.wikipedia.org/wiki/Elkmont_High_School","Alabama","public","Public high schools in Alabama"
"Elmore County High School",30630578,"https://en.wikipedia.org/wiki/Elmore_County_High_School","Alabama","public","Public high schools in Alabama"
"Emma Sansom High School",9034076,"https://en.wikipedia.org/wiki/Emma_Sansom_High_School","Alabama","unknown","Defunct schools in Alabama"
"Emory School",20978649,"https://en.wikipedia.org/wiki/Emory_School","Alabama","unknown","School buildings on the National Register of Historic Places in Alabama"
"Ensley High School",6116923,"https://en.wikipedia.org/wiki/Ensley_High_School","Alabama","unknown","High schools in Birmingham, Alabama"
"Enterprise City Schools",9951198,"https://en.wikipedia.org/wiki/Enterprise_City_Schools","Alabama","unknown","Alabama school stubs"
"Enterprise High School (Alabama)",9795883,"https://en.wikipedia.org/wiki/Enterprise_High_School_(Alabama)","Alabama","public","Public high schools in Alabama"
"Enterprise School",47785470,"https://en.wikipedia.org/wiki/Enterprise_School","Alabama","public","Schools in Madison County, Alabama"
"Escambia County High School (Alabama)",53436898,"https://en.wikipedia.org/wiki/Escambia_County_High_School_(Alabama)","Alabama","public","Public high schools in Alabama"
"Escambia County School System",71433975,"https://en.wikipedia.org/wiki/Escambia_County_School_System","Alabama","unknown","Alabama school stubs"
"Escambia County Training School",64004130,"https://en.wikipedia.org/wiki/Escambia_County_Training_School","Alabama","unknown","Defunct schools in Alabama"
"Etowah County Schools",38580250,"https://en.wikipedia.org/wiki/Etowah_County_Schools","Alabama","unknown","Alabama school stubs"
"Etowah High School (Alabama)",11520491,"https://en.wikipedia.org/wiki/Etowah_High_School_(Alabama)","Alabama","public","Public high schools in Alabama"
"Eufaula City Schools",38580239,"https://en.wikipedia.org/wiki/Eufaula_City_Schools","Alabama","unknown","Alabama school stubs"
"Eufaula High School (Alabama)",31868184,"https://en.wikipedia.org/wiki/Eufaula_High_School_(Alabama)","Alabama","public","Public high schools in Alabama"
"Evangel Classical Christian School",29743888,"https://en.wikipedia.org/wiki/Evangel_Classical_Christian_School","Alabama","private","Private high schools in Alabama"
"Evergreen School (Evergreen, Alabama)",57845330,"https://en.wikipedia.org/wiki/Evergreen_School_(Evergreen,_Alabama)","Alabama","unknown","School buildings on the National Register of Historic Places in Alabama"
"Excel High School (Alabama)",67714470,"https://en.wikipedia.org/wiki/Excel_High_School_(Alabama)","Alabama","public","Public high schools in Alabama"
"Fairfield City Schools",38580253,"https://en.wikipedia.org/wiki/Fairfield_City_Schools","Alabama","unknown","Alabama school stubs"
"Fairfield High Preparatory School",26368018,"https://en.wikipedia.org/wiki/Fairfield_High_Preparatory_School","Alabama","public","Public high schools in Alabama"
"Fairhope High School",4168174,"https://en.wikipedia.org/wiki/Fairhope_High_School","Alabama","public","Public high schools in Alabama"
"Fayette County Schools",38580258,"https://en.wikipedia.org/wiki/Fayette_County_Schools","Alabama","unknown","Alabama school stubs"
"Florence City Schools",5688156,"https://en.wikipedia.org/wiki/Florence_City_Schools","Alabama","unknown","Alabama school stubs"
"Foley High School",23407071,"https://en.wikipedia.org/wiki/Foley_High_School","Alabama","public","Public high schools in Alabama"
"Fort Payne City Schools",38580264,"https://en.wikipedia.org/wiki/Fort_Payne_City_Schools","Alabama","unknown","Alabama school stubs"
"Franklin County Schools (Alabama)",38580266,"https://en.wikipedia.org/wiki/Franklin_County_Schools_(Alabama)","Alabama","unknown","Alabama school stubs"
"Fruitdale High School",20446886,"https://en.wikipedia.org/wiki/Fruitdale_High_School","Alabama","public","Public high schools in Alabama"
"Fultondale High School",78323221,"https://en.wikipedia.org/wiki/Fultondale_High_School","Alabama","unknown","High schools in Birmingham, Alabama"
"Fultondale High School (2023–present)",78325015,"https://en.wikipedia.org/wiki/Fultondale_High_School_(2023%E2%80%93present)","Alabama","unknown","High schools in Birmingham, Alabama"
"Gadsden City High School",4806108,"https://en.wikipedia.org/wiki/Gadsden_City_High_School","Alabama","public","Public high schools in Alabama"
"Gadsden High School (Alabama)",8321300,"https://en.wikipedia.org/wiki/Gadsden_High_School_(Alabama)","Alabama","unknown","Defunct schools in Alabama"
"Gainestown Schoolhouse",30965285,"https://en.wikipedia.org/wiki/Gainestown_Schoolhouse","Alabama","unknown","School buildings on the National Register of Historic Places in Alabama"
"Gardendale High School",10289675,"https://en.wikipedia.org/wiki/Gardendale_High_School","Alabama","public","Public high schools in Alabama"
"Geneva County School District",38580271,"https://en.wikipedia.org/wiki/Geneva_County_School_District","Alabama","unknown","Alabama school stubs"
"Geneva High School (Alabama)",15037553,"https://en.wikipedia.org/wiki/Geneva_High_School_(Alabama)","Alabama","public","Public high schools in Alabama"
"George Washington Carver High School (Birmingham, Alabama)",18773602,"https://en.wikipedia.org/wiki/George_Washington_Carver_High_School_(Birmingham,_Alabama)","Alabama","unknown","High schools in Birmingham, Alabama"
"George Washington Carver High School (Dothan, Alabama)",59573232,"https://en.wikipedia.org/wiki/George_Washington_Carver_High_School_(Dothan,_Alabama)","Alabama","public","Public high schools in Alabama"
"George Washington Carver High School (Montgomery, Alabama)",22830343,"https://en.wikipedia.org/wiki/George_Washington_Carver_High_School_(Montgomery,_Alabama)","Alabama","unknown","High schools in Montgomery, Alabama"
"Glencoe High School (Alabama)",43397357,"https://en.wikipedia.org/wiki/Glencoe_High_School_(Alabama)","Alabama","public","Public high schools in Alabama"
"Glenwood School (Alabama)",56297956,"https://en.wikipedia.org/wiki/Glenwood_School_(Alabama)","Alabama","private","Private K–12 schools in Alabama"
"Goodwyn Jr. High School",26692023,"https://en.wikipedia.org/wiki/Goodwyn_Jr._High_School","Alabama","public","Public middle schools in Alabama"
"Gordo High School",23256466,"https://en.wikipedia.org/wiki/Gordo_High_School","Alabama","public","Public high schools in Alabama"
"Goshen High School (Alabama)",10043379,"https://en.wikipedia.org/wiki/Goshen_High_School_(Alabama)","Alabama","public","Public high schools in Alabama"
"Grand Bay Elementary School for Colored",25027455,"https://en.wikipedia.org/wiki/Grand_Bay_Elementary_School_for_Colored","Alabama","unknown","Historically segregated African-American schools in Alabama"
"Graymont School",55172319,"https://en.wikipedia.org/wiki/Graymont_School","Alabama","private","Private elementary schools in Alabama"
"Greengate School",9672794,"https://en.wikipedia.org/wiki/Greengate_School","Alabama","private","Private elementary schools in Alabama"
"Greenville Public School Complex",76587078,"https://en.wikipedia.org/wiki/Greenville_Public_School_Complex","Alabama","unknown","School buildings on the National Register of Historic Places in Alabama"
"Grissom High School (Alabama)",3659458,"https://en.wikipedia.org/wiki/Grissom_High_School_(Alabama)","Alabama","unknown","High schools in Huntsville, Alabama"
"Gulf Shores City Schools",68578962,"https://en.wikipedia.org/wiki/Gulf_Shores_City_Schools","Alabama","unknown","Alabama school stubs"
"Gulf Shores High School",46250820,"https://en.wikipedia.org/wiki/Gulf_Shores_High_School","Alabama","public","Public high schools in Alabama"
"Guntersville City School District",38580274,"https://en.wikipedia.org/wiki/Guntersville_City_School_District","Alabama","unknown","Alabama school stubs"
"Guntersville High School",69204364,"https://en.wikipedia.org/wiki/Guntersville_High_School","Alabama","public","Public high schools in Alabama"
"Hale County High School",67697289,"https://en.wikipedia.org/wiki/Hale_County_High_School","Alabama","public","Public high schools in Alabama"
"Hale County Schools",38580276,"https://en.wikipedia.org/wiki/Hale_County_Schools","Alabama","unknown","Alabama school stubs"
"Hamilton High School (Hamilton, Alabama)",4610095,"https://en.wikipedia.org/wiki/Hamilton_High_School_(Hamilton,_Alabama)","Alabama","public","Public high schools in Alabama"
"Hayes High School (Birmingham, Alabama)",6583886,"https://en.wikipedia.org/wiki/Hayes_High_School_(Birmingham,_Alabama)","Alabama","unknown","High schools in Birmingham, Alabama"
"Hazel Green High School",6352257,"https://en.wikipedia.org/wiki/Hazel_Green_High_School","Alabama","public","Public high schools in Alabama"
"Helena High School (Alabama)",40231599,"https://en.wikipedia.org/wiki/Helena_High_School_(Alabama)","Alabama","public","Public high schools in Alabama"
"Hewitt-Trussville High School",7511477,"https://en.wikipedia.org/wiki/Hewitt-Trussville_High_School","Alabama","public","Public high schools in Alabama"
"Hewitt-Trussville Middle School",13590496,"https://en.wikipedia.org/wiki/Hewitt-Trussville_Middle_School","Alabama","public","Schools in Jefferson County, Alabama"
"Hillcrest High School (Evergreen, Alabama)",46897466,"https://en.wikipedia.org/wiki/Hillcrest_High_School_(Evergreen,_Alabama)","Alabama","public","Public high schools in Alabama"
"Hillcrest High School (Tuscaloosa, Alabama)",9703537,"https://en.wikipedia.org/wiki/Hillcrest_High_School_(Tuscaloosa,_Alabama)","Alabama","public","Public high schools in Alabama"
"Hokes Bluff High School",56317947,"https://en.wikipedia.org/wiki/Hokes_Bluff_High_School","Alabama","public","Public high schools in Alabama"
"Holt High School (Alabama)",78814045,"https://en.wikipedia.org/wiki/Holt_High_School_(Alabama)","Alabama","public","Public high schools in Alabama"
"Holtville High School",17931166,"https://en.wikipedia.org/wiki/Holtville_High_School","Alabama","public","Public high schools in Alabama"
"Holy Family Cristo Rey High School (Birmingham, Alabama)",11138169,"https://en.wikipedia.org/wiki/Holy_Family_Cristo_Rey_High_School_(Birmingham,_Alabama)","Alabama","unknown","High schools in Birmingham, Alabama"
"Holy Spirit Catholic School",22163656,"https://en.wikipedia.org/wiki/Holy_Spirit_Catholic_School","Alabama","unknown","High schools in Tuscaloosa, Alabama"
"Homewood High School",29284256,"https://en.wikipedia.org/wiki/Homewood_High_School","Alabama","public","Public high schools in Alabama"
"Hoover High School (Alabama)",4942601,"https://en.wikipedia.org/wiki/Hoover_High_School_(Alabama)","Alabama","public","Public high schools in Alabama"
"Horseshoe Bend High School",3775634,"https://en.wikipedia.org/wiki/Horseshoe_Bend_High_School","Alabama","public","Public high schools in Alabama"
"Houston County Schools (Alabama)",38580285,"https://en.wikipedia.org/wiki/Houston_County_Schools_(Alabama)","Alabama","unknown","Alabama school stubs"
"Hubbertville School",7825037,"https://en.wikipedia.org/wiki/Hubbertville_School","Alabama","public","Public K–12 schools in Alabama"
"Hueytown High School",23644597,"https://en.wikipedia.org/wiki/Hueytown_High_School","Alabama","public","Public high schools in Alabama"
"Huffman High School",3057549,"https://en.wikipedia.org/wiki/Huffman_High_School","Alabama","unknown","High schools in Birmingham, Alabama"
"Huntsville High School (Alabama)",15679707,"https://en.wikipedia.org/wiki/Huntsville_High_School_(Alabama)","Alabama","unknown","High schools in Huntsville, Alabama"
"Ider High School (Alabama)",12336823,"https://en.wikipedia.org/wiki/Ider_High_School_(Alabama)","Alabama","public","Public K–12 schools in Alabama"
"Indian Springs School",2306381,"https://en.wikipedia.org/wiki/Indian_Springs_School","Alabama","private","Preparatory schools in Alabama"
"Isabella High School",22577942,"https://en.wikipedia.org/wiki/Isabella_High_School","Alabama","public","Public K–12 schools in Alabama"
"J.O. Johnson High School",29585974,"https://en.wikipedia.org/wiki/J.O._Johnson_High_School","Alabama","unknown","High schools in Huntsville, Alabama"
"Jackson County School District (Alabama)",38580289,"https://en.wikipedia.org/wiki/Jackson_County_School_District_(Alabama)","Alabama","unknown","Alabama school stubs"
"Jacksonville City Schools",38580292,"https://en.wikipedia.org/wiki/Jacksonville_City_Schools","Alabama","unknown","Alabama school stubs"
"Jacksonville High School (Alabama)",25219281,"https://en.wikipedia.org/wiki/Jacksonville_High_School_(Alabama)","Alabama","unknown","High schools in Jacksonville, Alabama"
"James Clemens High School",47617284,"https://en.wikipedia.org/wiki/James_Clemens_High_School","Alabama","public","Public high schools in Alabama"
"Jasper City Schools",38580295,"https://en.wikipedia.org/wiki/Jasper_City_Schools","Alabama","unknown","Alabama school stubs"
"Jasper High School (Alabama)",5707445,"https://en.wikipedia.org/wiki/Jasper_High_School_(Alabama)","Alabama","public","Public high schools in Alabama"
"Jefferson County International Baccalaureate School",1962752,"https://en.wikipedia.org/wiki/Jefferson_County_International_Baccalaureate_School","Alabama","public","Public high schools in Alabama"
"Jemison High School (Huntsville, Alabama)",48325955,"https://en.wikipedia.org/wiki/Jemison_High_School_(Huntsville,_Alabama)","Alabama","unknown","High schools in Huntsville, Alabama"
